0,1,2,3,4,5,6,7,8,9
2,1,10,3,5,11,12,9,8,13
10,1,14,3,11,15,16,13,8,17
14,1,0,3,15,4,18,17,8,7
0,19,14,3,20,21,18,7,22,17
14,19,23,3,21,24,25,17,22,26
23,19,27,3,24,28,29,26,22,30
27,19,0,3,28,20,31,30,22,7
14,32,10,3,33,34,16,17,35,13
10,32,36,3,34,37,38,13,35,39
36,32,23,3,37,40,41,39,35,26
23,32,14,3,40,33,25,26,35,17
10,42,2,3,43,44,12,13,45,9
2,42,46,3,44,47,48,9,45,49
46,42,36,3,47,50,51,49,45,39
36,42,10,3,50,43,38,39,45,13
2,52,0,3,53,54,6,9,55,7
0,52,27,3,54,56,31,7,55,30
27,52,46,3,56,57,58,30,55,49
46,52,2,3,57,53,48,49,55,9
27,59,23,3,60,61,29,30,62,26
23,59,36,3,61,63,41,26,62,39
36,59,46,3,63,64,51,39,62,49
46,59,27,3,64,60,58,49,62,30
