0,1,2,3
0,4,1,3
2,1,5,3
0,6,4,3
5,7,2,3
7,8,2,3
9,6,0,3
1,4,5,3
6,10,4,3
9,8,11,3
7,5,12,3
8,13,11,3
10,14,4,3
0,4,15,1
2,8,16,0
13,8,17,3
4,14,18,3
5,19,12,3
6,20,10,3
2,21,5,1
20,6,22,3
23,7,12,3
9,11,24,3
18,19,5,3
5,4,18,3
8,7,17,3
22,6,9,3
25,26,27,3
28,25,29,23
30,29,27,24
17,7,23,3
22,9,24,3
27,24,29,3
29,23,25,3
14,19,18,3
4,0,15,6
17,23,13,3
9,16,8,0
20,22,24,3
26,14,27,3
25,19,26,3
21,5,7,2
12,19,23,3
11,13,24,3
10,20,14,3
13,28,29,23
25,27,29,3
11,8,31,13
4,10,32,14
29,13,23,3
22,33,20,24
13,8,31,17
18,4,32,14
7,12,5,34
20,30,27,24
20,22,6,35
19,14,18,36
35,6,20,10
5,12,19,37
23,13,38,17
4,6,39,10
11,9,40,8
24,27,20,3
7,41,23,12
24,11,9,42
19,18,5,37
17,41,23,7
9,22,24,42
26,19,14,3
34,5,7,21
30,20,33,24
26,14,19,36
13,38,28,23
16,40,9,8
4,6,15,39
27,43,25,29
41,23,38,17
20,33,22,35
24,22,33,42
35,39,6,10
10,39,4,32
11,9,42,40
12,5,34,37
12,7,41,34
32,18,14,36
37,19,18,36
43,28,25,29
29,27,43,30
43,25,26,27
8,40,11,31
31,38,13,17
44,2,16,0
21,2,44,1
1,0,44,15
23,19,25,3
29,24,13,3
27,14,20,3
0,44,2,1
0,8,3,2
0,3,8,9
