0,1,2,3,4,5,6,7
4,5,6,7,8,9,10,11
8,9,10,11,12,13,14,15
16,0,3,17,18,4,7,19
18,4,7,19,20,8,11,21
20,8,11,21,22,12,15,23
24,25,1,0,26,27,5,4
26,27,5,4,28,29,9,8
28,29,9,8,30,31,13,12
32,24,0,16,33,26,4,18
33,26,4,18,34,28,8,20
34,28,8,20,35,30,12,22
2,1,36,37,6,5,38,39
6,5,38,39,10,9,40,41
10,9,40,41,14,13,42,43
37,36,44,45,39,38,46,47
39,38,46,47,41,40,48,49
41,40,48,49,43,42,50,51
1,25,52,36,5,27,53,38
5,27,53,38,9,29,54,40
9,29,54,40,13,31,55,42
36,52,56,44,38,53,57,46
38,53,57,46,40,54,58,48
40,54,58,48,42,55,59,50
25,24,60,52,27,26,61,53
27,26,61,53,29,28,62,54
29,28,62,54,31,30,63,55
52,60,64,56,53,61,65,57
53,61,65,57,54,62,66,58
54,62,66,58,55,63,67,59
24,32,68,60,26,33,69,61
26,33,69,61,28,34,70,62
28,34,70,62,30,35,71,63
60,68,72,64,61,69,73,65
61,69,73,65,62,70,74,66
62,70,74,66,63,71,75,67
32,16,76,68,33,18,77,69
33,18,77,69,34,20,78,70
34,20,78,70,35,22,79,71
68,76,80,72,69,77,81,73
69,77,81,73,70,78,82,74
70,78,82,74,71,79,83,75
16,17,84,76,18,19,85,77
18,19,85,77,20,21,86,78
20,21,86,78,22,23,87,79
76,84,88,80,77,85,89,81
77,85,89,81,78,86,90,82
78,86,90,82,79,87,91,83
17,3,92,84,19,7,93,85
19,7,93,85,21,11,94,86
21,11,94,86,23,15,95,87
84,92,96,88,85,93,97,89
85,93,97,89,86,94,98,90
86,94,98,90,87,95,99,91
3,2,37,92,7,6,39,93
7,6,39,93,11,10,41,94
11,10,41,94,15,14,43,95
92,37,45,96,93,39,47,97
93,39,47,97,94,41,49,98
94,41,49,98,95,43,51,99
