0,1,2,3
4,2,1,3
5,6,7,3
8,1,6,3
9,6,1,3
5,10,6,3
9,1,0,3
9,7,6,3
8,6,10,3
11,9,0,3
11,7,9,3
12,8,10,3
8,12,13,3
5,7,14,3
15,7,11,3
0,16,11,3
0,2,17,3
2,4,18,3
5,19,10,3
20,12,10,3
4,13,18,3
20,13,12,3
7,15,14,3
16,15,11,3
21,22,23,3
16,0,17,3
24,25,26,3
2,18,17,3
27,26,25,3
5,14,19,3
22,21,28,3
19,20,10,3
29,23,22,3
28,30,22,3
29,25,24,3
27,25,30,3
31,29,24,3
18,13,32,3
29,31,23,3
32,30,28,3
32,13,20,3
24,26,14,3
24,15,31,3
16,23,31,3
33,27,30,3
24,14,15,3
15,16,31,3
21,23,17,3
33,30,32,3
22,30,25,3
29,22,25,3
18,28,21,3
27,19,26,3
23,16,17,3
17,18,21,3
19,14,26,3
33,20,27,3
18,32,28,3
27,20,19,3
33,32,20,3
5,6,34,7
24,26,25,35
25,26,27,36
5,10,37,6
21,38,23,22
0,2,1,39
34,6,9,7
25,29,24,35
9,11,40,7
38,29,23,22
9,0,1,39
29,31,24,41
28,32,42,30
43,13,4,8
9,44,11,0
40,34,9,7
41,24,29,35
31,45,29,23
27,30,25,36
45,38,29,23
0,9,44,39
10,8,37,6
46,4,1,8
28,47,22,30
30,27,48,36
8,37,49,10
28,47,21,22
1,2,4,46
48,27,30,33
13,43,12,8
32,42,30,33
47,28,42,30
4,46,43,8
37,5,6,34
8,49,12,10
36,25,26,35
11,44,9,40
21,47,38,22
31,29,45,41
2,1,39,46
48,30,42,33
43,49,12,8
8,4,3,13
8,3,4,1
