0,1,2,3,4,5,6,7
4,5,6,7,8,9,10,11
8,9,10,11,12,13,14,15
12,13,14,15,16,17,18,19
16,17,18,19,20,21,22,23
20,21,22,23,24,25,26,27
28,0,3,29,30,4,7,31
30,4,7,31,32,8,11,33
32,8,11,33,34,12,15,35
34,12,15,35,36,16,19,37
36,16,19,37,38,20,23,39
38,20,23,39,40,24,27,41
42,28,29,43,44,30,31,45
44,30,31,45,46,32,33,47
46,32,33,47,48,34,35,49
48,34,35,49,50,36,37,51
50,36,37,51,52,38,39,53
52,38,39,53,54,40,41,55
56,42,43,57,58,44,45,59
58,44,45,59,60,46,47,61
60,46,47,61,62,48,49,63
62,48,49,63,64,50,51,65
64,50,51,65,66,52,53,67
66,52,53,67,68,54,55,69
70,71,1,0,72,73,5,4
72,73,5,4,74,75,9,8
74,75,9,8,76,77,13,12
76,77,13,12,78,79,17,16
78,79,17,16,80,81,21,20
80,81,21,20,82,83,25,24
84,70,0,28,85,72,4,30
85,72,4,30,86,74,8,32
86,74,8,32,87,76,12,34
87,76,12,34,88,78,16,36
88,78,16,36,89,80,20,38
89,80,20,38,90,82,24,40
91,84,28,42,92,85,30,44
92,85,30,44,93,86,32,46
93,86,32,46,94,87,34,48
94,87,34,48,95,88,36,50
95,88,36,50,96,89,38,52
96,89,38,52,97,90,40,54
98,91,42,56,99,92,44,58
99,92,44,58,100,93,46,60
100,93,46,60,101,94,48,62
101,94,48,62,102,95,50,64
102,95,50,64,103,96,52,66
103,96,52,66,104,97,54,68
105,106,71,70,107,108,73,72
107,108,73,72,109,110,75,74
109,110,75,74,111,112,77,76
111,112,77,76,113,114,79,78
113,114,79,78,115,116,81,80
115,116,81,80,117,118,83,82
119,105,70,84,120,107,72,85
120,107,72,85,121,109,74,86
121,109,74,86,122,111,76,87
122,111,76,87,123,113,78,88
123,113,78,88,124,115,80,89
124,115,80,89,125,117,82,90
126,119,84,91,127,120,85,92
127,120,85,92,128,121,86,93
128,121,86,93,129,122,87,94
129,122,87,94,130,123,88,95
130,123,88,95,131,124,89,96
131,124,89,96,132,125,90,97
133,126,91,98,134,127,92,99
134,127,92,99,135,128,93,100
135,128,93,100,136,129,94,101
136,129,94,101,137,130,95,102
137,130,95,102,138,131,96,103
138,131,96,103,139,132,97,104
140,141,106,105,142,143,108,107
142,143,108,107,144,145,110,109
144,145,110,109,146,147,112,111
146,147,112,111,148,149,114,113
148,149,114,113,150,151,116,115
150,151,116,115,152,153,118,117
154,140,105,119,155,142,107,120
155,142,107,120,156,144,109,121
156,144,109,121,157,146,111,122
157,146,111,122,158,148,113,123
158,148,113,123,159,150,115,124
159,150,115,124,160,152,117,125
161,154,119,126,162,155,120,127
162,155,120,127,163,156,121,128
163,156,121,128,164,157,122,129
164,157,122,129,165,158,123,130
165,158,123,130,166,159,124,131
166,159,124,131,167,160,125,132
168,161,126,133,169,162,127,134
169,162,127,134,170,163,128,135
170,163,128,135,171,164,129,136
171,164,129,136,172,165,130,137
172,165,130,137,173,166,131,138
173,166,131,138,174,167,132,139
2,1,175,176,6,5,177,178
6,5,177,178,10,9,179,180
10,9,179,180,14,13,181,182
14,13,181,182,18,17,183,184
18,17,183,184,22,21,185,186
22,21,185,186,26,25,187,188
176,175,189,190,178,177,191,192
178,177,191,192,180,179,193,194
180,179,193,194,182,181,195,196
182,181,195,196,184,183,197,198
184,183,197,198,186,185,199,200
186,185,199,200,188,187,201,202
190,189,203,204,192,191,205,206
192,191,205,206,194,193,207,208
194,193,207,208,196,195,209,210
196,195,209,210,198,197,211,212
198,197,211,212,200,199,213,214
200,199,213,214,202,201,215,216
204,203,217,218,206,205,219,220
206,205,219,220,208,207,221,222
208,207,221,222,210,209,223,224
210,209,223,224,212,211,225,226
212,211,225,226,214,213,227,228
214,213,227,228,216,215,229,230
1,71,231,175,5,73,232,177
5,73,232,177,9,75,233,179
9,75,233,179,13,77,234,181
13,77,234,181,17,79,235,183
17,79,235,183,21,81,236,185
21,81,236,185,25,83,237,187
175,231,238,189,177,232,239,191
177,232,239,191,179,233,240,193
179,233,240,193,181,234,241,195
181,234,241,195,183,235,242,197
183,235,242,197,185,236,243,199
185,236,243,199,187,237,244,201
189,238,245,203,191,239,246,205
191,239,246,205,193,240,247,207
193,240,247,207,195,241,248,209
195,241,248,209,197,242,249,211
197,242,249,211,199,243,250,213
199,243,250,213,201,244,251,215
203,245,252,217,205,246,253,219
205,246,253,219,207,247,254,221
207,247,254,221,209,248,255,223
209,248,255,223,211,249,256,225
211,249,256,225,213,250,257,227
213,250,257,227,215,251,258,229
71,106,259,231,73,108,260,232
73,108,260,232,75,110,261,233
75,110,261,233,77,112,262,234
77,112,262,234,79,114,263,235
79,114,263,235,81,116,264,236
81,116,264,236,83,118,265,237
231,259,266,238,232,260,267,239
232,260,267,239,233,261,268,240
233,261,268,240,234,262,269,241
234,262,269,241,235,263,270,242
235,263,270,242,236,264,271,243
236,264,271,243,237,265,272,244
238,266,273,245,239,267,274,246
239,267,274,246,240,268,275,247
240,268,275,247,241,269,276,248
241,269,276,248,242,270,277,249
242,270,277,249,243,271,278,250
243,271,278,250,244,272,279,251
245,273,280,252,246,274,281,253
246,274,281,253,247,275,282,254
247,275,282,254,248,276,283,255
248,276,283,255,249,277,284,256
249,277,284,256,250,278,285,257
250,278,285,257,251,279,286,258
106,141,287,259,108,143,288,260
108,143,288,260,110,145,289,261
110,145,289,261,112,147,290,262
112,147,290,262,114,149,291,263
114,149,291,263,116,151,292,264
116,151,292,264,118,153,293,265
259,287,294,266,260,288,295,267
260,288,295,267,261,289,296,268
261,289,296,268,262,290,297,269
262,290,297,269,263,291,298,270
263,291,298,270,264,292,299,271
264,292,299,271,265,293,300,272
266,294,301,273,267,295,302,274
267,295,302,274,268,296,303,275
268,296,303,275,269,297,304,276
269,297,304,276,270,298,305,277
270,298,305,277,271,299,306,278
271,299,306,278,272,300,307,279
273,301,308,280,274,302,309,281
