0,1,2,3
4,5,6,7
8,9,10,11
0,1,3,12
13,14,15,16
17,18,4,6
19,20,21,22
23,11,9,3
24,6,5,7
21,25,26,15
14,27,15,16
23,10,9,11
0,3,2,12
4,5,17,6
9,28,29,3
26,30,21,15
31,22,15,32
30,22,21,15
33,34,19,22
11,3,23,35
5,24,17,6
36,37,38,39
40,41,37,35
40,37,42,43
44,11,23,35
38,37,36,45
36,15,27,16
31,39,22,32
31,22,30,15
6,7,24,46
19,34,20,22
27,15,36,32
47,11,48,49
22,39,50,43
7,51,42,43
0,2,52,12
40,49,37,43
40,41,42,37
53,11,54,55
40,42,56,43
41,57,37,35
47,11,49,58
23,44,10,11
59,60,61,62
40,37,49,35
37,7,42,43
54,11,63,55
9,11,64,3
20,65,25,15
36,22,37,39
39,49,50,43
61,60,66,62
47,67,48,11
68,69,6,16
50,70,22,43
71,72,73,7
34,22,33,51
20,22,65,15
29,23,9,3
56,49,40,43
73,24,5,7
36,32,74,75
76,60,59,62
61,77,78,60
20,65,22,79
48,11,44,49
71,37,72,7
80,81,68,6
82,13,15,16
54,83,63,11
47,67,11,58
84,48,44,49
18,85,4,6
61,78,66,60
36,16,27,75
37,39,22,43
59,77,61,60
38,74,36,39
36,74,38,45
73,24,7,46
38,39,37,49
44,49,11,35
82,13,86,15
53,83,54,11
17,85,18,6
87,88,89,55
8,64,9,11
76,90,60,62
91,54,92,55
53,54,91,55
93,42,51,43
84,49,44,35
8,10,83,11
89,88,94,55
68,6,81,16
37,6,36,45
95,14,27,15
96,32,36,75
96,36,27,75
70,51,22,43
47,49,97,58
1,98,3,12
96,27,36,32
65,15,22,79
99,61,66,62
37,49,39,43
26,100,30,15
15,16,36,79
96,74,32,75
37,22,36,79
101,46,57,102
89,88,87,62
103,74,104,105
34,20,22,51
104,74,103,32
37,45,38,57
71,41,72,37
41,106,107,57
71,42,37,7
97,47,50,49
85,80,68,6
89,108,94,62
109,63,11,55
28,9,110,3
89,94,88,62
103,32,74,105
71,42,41,37
97,49,39,58
83,10,111,11
17,24,112,6
113,74,96,75
68,114,69,16
9,64,110,3
57,46,45,102
29,28,115,3
31,116,22,39
106,57,41,35
42,7,117,51
64,3,11,118
50,22,116,39
88,90,119,62
23,3,120,35
94,108,121,88
113,96,27,75
119,90,88,105
97,50,39,49
120,23,29,3
54,63,92,55
101,45,46,102
98,57,3,102
47,122,50,49
1,123,98,12
4,6,124,7
6,45,37,46
108,66,118,62
17,112,125,6
82,126,13,16
100,31,30,15
115,28,2,3
121,53,55,118
108,88,94,62
37,36,6,79
11,58,109,55
20,79,22,51
127,128,66,60
11,55,53,118
88,60,38,90
76,129,59,60
130,58,88,55
78,127,66,60
60,118,66,62
38,11,49,35
44,23,131,35
132,32,103,105
133,134,6,45
0,123,1,12
60,3,38,102
77,78,60,12
2,1,115,3
60,38,3,118
37,38,49,57
81,6,134,16
112,6,24,46
