0,1,2,3
4,0,2,3
5,2,6,3
2,7,6,3
8,2,1,3
4,2,9,3
9,2,5,3
7,2,8,3
1,0,10,3
11,0,4,3
1,10,8,3
11,4,9,3
12,6,7,3
7,8,13,3
5,6,14,3
9,5,15,3
16,17,18,3
17,19,18,3
20,17,21,3
20,22,17,3
0,18,10,3
11,18,0,3
23,21,17,3
24,17,22,3
23,17,16,3
7,13,12,3
17,24,19,3
10,13,8,3
15,11,9,3
2,25,5,6
0,26,2,1
27,18,16,17
10,24,13,3
4,0,26,2
18,27,19,17
15,23,11,3
6,7,2,28
5,14,15,3
17,20,29,22
21,20,30,17
12,14,6,3
31,5,9,2
23,21,32,17
33,24,17,22
8,2,7,34
16,18,11,3
10,18,19,3
23,35,16,17
2,8,1,36
9,4,37,2
17,38,19,24
14,20,21,3
12,22,20,3
23,16,11,3
10,19,24,3
22,12,13,3
15,14,21,3
24,22,13,3
14,12,20,3
23,15,21,3
31,25,5,2
2,25,6,28
8,10,24,13
11,23,15,9
29,33,17,22
32,21,30,17
28,7,2,34
20,30,17,29
35,23,32,17
37,31,9,2
24,17,38,33
2,8,36,34
26,2,1,36
27,16,35,17
37,4,26,2
38,19,27,17
