0,1,2,3
0,4,1,3
0,2,5,3
0,6,4,3
5,2,7,3
5,6,0,3
1,4,8,3
7,2,9,3
6,10,4,3
9,8,11,3
12,5,7,3
10,13,4,3
0,4,14,1
2,15,9,1
4,13,16,3
5,12,17,3
8,18,11,3
6,19,10,3
20,9,11,3
5,21,2,0
22,9,20,3
19,6,23,3
12,7,24,3
23,5,17,3
16,18,8,3
8,4,16,3
23,6,5,3
22,7,9,3
25,26,27,3
28,29,27,19
30,25,29,24
7,22,24,3
19,29,27,3
25,29,24,3
13,18,16,3
4,0,14,6
19,23,17,3
15,8,9,1
24,22,20,3
26,13,27,3
25,18,26,3
5,21,7,2
11,18,20,3
12,24,17,3
10,19,13,3
19,28,29,17
25,27,29,3
4,10,31,13
29,19,17,3
20,24,32,22
16,4,31,13
12,5,33,7
30,25,24,20
22,34,20,9
19,23,6,35
18,13,16,36
35,6,19,10
9,34,20,11
17,12,5,37
8,11,18,38
23,39,19,17
4,6,40,10
9,11,8,41
25,24,20,3
12,7,42,24
5,23,17,37
18,16,8,38
24,7,42,22
26,18,13,3
21,33,5,7
24,32,30,20
26,13,18,36
28,19,39,17
41,8,9,15
4,6,14,40
27,43,25,29
34,20,32,22
19,39,23,35
42,32,24,22
35,40,6,10
10,40,4,31
7,33,12,42
12,5,37,33
11,8,41,38
31,16,13,36
38,18,16,36
43,30,25,29
29,27,43,28
43,25,26,27
11,9,34,41
17,23,39,37
44,2,21,0
15,2,44,1
1,0,44,14
29,17,24,3
27,13,19,3
20,18,25,3
0,44,2,1
9,1,3,2
3,1,9,8
