0,1,2
3,4,5
6,7,8
2,9,0
5,10,3
11,12,13
14,15,11
16,12,11
11,15,17
18,11,13
14,11,18
6,19,7
20,21,22
23,24,25
15,21,20
25,24,12
26,27,28
29,30,31
28,32,26
31,33,29
0,34,1
4,35,5
7,36,8
37,38,39
40,41,42
43,25,44
45,20,46
47,48,49
50,16,17
51,45,46
43,44,52
3,53,54
55,56,2
54,53,57
7,56,55
28,27,4
1,30,29
10,53,3
20,58,46
43,59,25
2,56,9
60,48,61
17,45,62
63,44,16
9,64,0
5,65,10
16,11,17
39,38,43
46,41,40
50,17,62
63,16,50
66,60,61
27,35,4
1,34,30
49,67,68
69,70,71
69,71,72
47,49,68
17,15,45
44,12,16
39,43,52
51,46,40
73,70,69
68,67,74
61,48,47
62,45,51
52,44,63
0,64,75
76,65,5
77,31,78
79,26,80
76,5,81
82,0,75
25,83,23
22,84,20
77,85,31
75,64,86
87,65,76
48,88,49
43,38,59
58,41,46
41,89,42
26,90,80
37,91,38
92,85,77
93,94,66
80,90,95
96,97,98
99,100,101
102,28,4
1,29,103
14,21,15
12,24,13
99,104,100
97,105,98
104,55,106
107,54,105
102,3,54
55,2,103
104,106,100
97,107,105
94,108,66
107,102,54
55,103,106
2,1,103
102,4,3
9,70,64
65,67,10
54,57,105
104,7,55
31,30,78
79,27,26
101,14,18
18,13,96
109,110,111
97,23,107
106,22,100
102,112,28
29,113,103
72,114,93
5,35,81
82,34,0
107,112,102
103,113,106
110,8,111
109,115,110
45,15,20
25,12,44
116,6,8
114,94,93
53,88,57
71,117,19
53,118,88
19,114,71
23,112,107
106,113,22
88,118,49
119,91,37
110,116,8
74,120,121
122,123,73
42,89,124
96,24,97
100,21,101
57,125,126
57,126,105
104,36,7
95,91,119
121,120,87
86,123,122
124,89,92
59,83,25
20,84,58
38,91,90
101,21,14
13,24,96
85,89,41
19,117,56
73,123,70
67,120,74
112,32,28
29,33,113
78,30,127
128,27,79
32,129,26
31,130,33
126,125,115
111,36,99
98,126,109
60,131,48
66,108,60
7,19,56
71,114,72
30,34,127
128,35,27
105,126,98
99,36,104
97,24,23
22,21,100
70,123,64
65,120,67
48,131,88
85,130,31
38,129,59
58,130,41
49,118,67
70,117,71
26,129,90
6,114,19
109,126,115
8,36,111
131,125,88
90,129,38
6,94,114
41,130,85
127,34,82
81,35,128
67,118,10
9,117,70
64,123,86
87,120,65
116,94,6
112,83,32
33,84,113
90,91,95
110,132,116
92,89,85
115,132,110
10,118,53
56,117,9
32,83,59
58,84,33
23,83,112
113,84,22
33,130,58
59,129,32
88,125,57
132,108,116
131,132,115
60,108,132
60,132,131
115,125,131
116,108,94
