0,1,2
1,3,2
4,5,6
7,8,9
10,11,12
13,14,15
12,16,10
6,17,4
18,3,1
19,8,7
19,7,20
21,22,23
24,25,26
27,28,29
29,28,30
31,3,32
33,13,15
1,34,18
35,36,37
38,22,21
26,25,39
40,14,41
32,3,18
37,36,20
42,43,44
45,14,13
41,14,46
8,47,9
48,49,50
7,51,37
52,53,54
55,19,20
43,56,57
58,59,60
61,49,48
9,62,51
63,48,50
64,36,65
7,37,20
66,8,19
43,57,67
6,5,68
69,70,71
36,72,65
51,73,74
75,76,77
15,48,33
7,9,51
78,79,8
10,80,11
61,48,15
10,16,81
82,56,83
71,84,69
77,85,75
51,74,37
44,43,67
86,28,27
78,5,4
23,87,21
66,5,78
65,59,58
66,19,88
62,73,51
66,78,8
54,49,52
89,86,27
90,34,1
91,92,93
94,95,96
97,10,81
98,99,11
100,101,86
102,97,81
55,20,103
104,66,88
89,100,86
81,105,106
90,1,107
108,109,110
17,111,110
78,112,79
20,36,103
108,110,113
102,81,106
114,53,52
63,50,115
73,116,74
117,0,118
119,45,120
121,116,73
59,122,60
2,123,0
9,124,62
125,90,126
45,127,46
64,65,58
88,19,55
44,101,42
21,87,112
50,100,115
112,128,21
110,111,113
124,129,130
131,6,68
107,1,0
67,57,132
133,33,134
90,135,34
39,25,136
137,22,38
46,14,45
103,36,64
96,109,94
93,105,91
117,107,0
138,97,102
139,127,119
118,123,140
104,5,66
45,13,120
74,98,35
81,16,105
50,141,100
11,80,142
143,144,145
109,146,110
98,11,142
79,47,8
83,56,43
125,135,90
134,48,63
68,5,104
6,111,17
17,128,4
147,107,117
33,48,134
31,148,3
137,38,149
150,39,136
15,14,40
120,13,151
21,128,152
153,114,154
97,59,10
31,132,155
112,87,79
93,92,139
140,95,94
11,99,26
83,43,42
38,21,152
74,35,37
156,82,83
12,26,39
38,152,157
158,12,39
130,159,124
47,129,124
32,67,132
73,160,121
3,148,2
161,101,100
162,2,163
78,4,112
164,46,165
62,143,73
38,157,149
150,158,39
98,142,35
166,44,67
98,116,167
124,144,62
113,111,168
126,169,170
139,92,127
123,95,140
171,172,133
0,123,118
119,127,45
52,49,61
142,80,72
170,169,147
110,173,17
151,172,171
31,32,132
174,70,175
176,76,177
35,72,36
178,137,179
180,136,181
44,28,86
182,183,184
184,185,186
60,122,187
188,145,189
189,190,191
192,193,188
177,75,194
195,71,174
196,197,131
61,15,40
75,85,153
114,52,154
155,84,71
74,116,98
161,54,198
187,122,138
32,18,166
137,149,163
164,150,136
199,70,69
77,76,200
106,105,93
168,197,196
178,179,155
153,180,181
192,176,193
190,175,191
164,165,150
149,162,163
94,109,108
75,153,181
178,155,71
159,144,124
32,166,67
179,31,155
180,164,136
137,163,179
86,101,44
177,194,201
202,195,174
52,40,154
157,109,96
18,30,166
52,61,40
153,154,180
195,178,71
75,181,194
203,130,202
201,121,204
2,148,163
164,41,46
153,85,114
162,123,2
202,23,195
194,24,201
176,177,204
203,174,175
46,127,165
71,70,174
177,76,75
26,99,24
54,53,198
91,105,158
115,100,89
17,173,128
97,122,59
132,84,155
204,160,193
203,202,174
177,201,204
83,42,198
62,144,143
30,135,29
190,159,203
42,161,198
150,91,158
157,96,149
90,169,126
198,53,205
178,22,137
136,25,181
70,206,175
176,207,76
176,204,193
190,203,175
6,197,111
131,197,6
167,99,98
12,11,26
185,200,186
182,199,183
72,80,65
185,156,208
166,28,44
165,91,150
149,96,162
199,206,70
76,207,200
133,172,33
23,209,87
199,69,210
40,41,154
65,80,59
208,77,200
180,41,164
157,146,109
69,57,210
83,198,205
210,82,183
154,41,180
199,210,183
156,83,205
121,160,204
105,16,158
185,208,200
203,159,130
195,22,178
181,25,194
59,80,10
179,148,31
23,22,195
194,25,24
30,28,166
114,211,53
24,167,201
107,169,90
156,205,208
53,211,205
18,34,30
201,167,121
4,128,112
163,148,179
186,207,192
191,206,182
138,122,97
147,169,107
33,172,13
29,135,125
152,146,157
158,16,12
13,172,151
146,173,110
100,141,161
202,209,23
160,212,193
192,207,176
175,206,191
162,95,123
127,92,165
190,213,159
208,211,77
69,84,57
24,99,167
9,47,124
185,214,156
142,72,35
57,56,210
205,211,208
111,197,168
82,214,183
73,143,160
182,206,199
200,207,186
87,129,79
145,212,143
42,101,161
211,85,77
210,56,82
188,212,145
193,212,188
145,213,189
189,213,190
183,214,184
184,214,185
114,85,211
79,129,47
143,212,160
144,213,145
57,84,132
54,141,49
161,141,54
156,214,82
130,209,202
159,213,144
96,95,162
165,92,91
167,116,121
34,135,30
49,141,50
152,173,146
128,173,152
129,209,130
87,209,129
