0,1,2,3
4,5,6,3
7,8,9,10
11,12,13,10
14,15,16,17
18,19,20,21
22,23,24,25
26,27,28,21
2,1,6,3
5,2,6,3
29,30,31,25
32,33,34,17
33,15,14,17
35,36,37,38
27,19,18,21
39,40,41,42
41,43,39,42
16,32,34,17
37,44,35,38
45,46,37,47
37,47,48,49
38,35,36,50
51,52,53,54
53,55,51,54
56,35,44,50
43,57,58,42
23,31,30,25
36,37,38,49
56,59,60,61
62,63,64,65
66,67,63,68
22,24,29,25
39,43,58,42
12,11,9,10
63,66,68,62
8,7,13,10
53,69,51,70
32,16,15,17
47,37,45,49
66,71,67,72
61,56,44,50
59,60,35,56
71,66,67,63
56,60,35,50
67,71,73,72
14,34,33,17
16,34,14,17
51,53,52,74
61,60,56,50
75,66,76,72
77,62,64,65
66,75,71,72
28,27,18,21
38,44,35,50
63,75,71,66
66,63,64,62
77,59,56,61
78,79,56,77
80,67,73,81
53,82,52,74
56,79,59,77
83,84,85,86
67,71,80,73
86,87,85,88
84,87,85,86
73,55,80,81
69,53,89,70
26,28,20,21
36,38,50,90
51,55,53,70
60,36,35,50
79,78,62,77
83,82,91,74
92,63,62,65
64,68,66,62
37,36,45,49
24,23,30,25
63,71,92,67
29,24,30,25
59,77,93,61
94,71,80,67
12,8,13,10
67,66,72,68
72,73,67,81
84,95,87,96
12,9,8,10
77,79,59,93
85,82,91,83
75,76,97,72
79,98,59,93
82,83,52,74
0,5,4,3
97,71,75,72
15,33,32,17
88,47,86,49
64,79,62,77
99,53,89,69
75,66,100,76
71,97,73,72
65,77,62,101
64,63,102,65
66,75,100,63
83,82,52,85
79,78,64,62
36,38,90,49
73,89,55,70
55,89,53,70
45,86,47,49
56,77,61,101
93,103,104,98
79,59,78,56
64,102,77,65
96,88,87,86
84,87,86,96
89,73,55,80
46,45,86,47
69,89,105,70
47,88,48,49
61,103,93,59
86,96,88,49
36,60,106,50
32,75,100,76
54,51,52,74
51,107,53,74
98,103,59,93
108,109,110,111
53,82,112,52
97,80,71,73
91,113,95,114
84,85,91,83
63,64,102,66
37,48,38,49
115,99,116,69
59,103,60,61
46,36,45,37
108,109,117,110
93,77,79,118
87,85,91,84
96,86,45,49
79,119,98,93
32,76,97,75
120,111,108,110
94,80,89,55
81,73,55,70
23,22,31,25
89,121,99,105
31,22,29,25
105,89,73,70
96,45,122,49
110,117,108,120
82,53,107,74
95,117,109,110
52,85,123,83
124,125,126,127
53,69,107,51
114,83,91,74
128,15,129,16
83,85,123,47
0,2,5,3
118,130,119,131
117,124,126,127
132,120,110,111
96,109,87,133
134,127,113,135
121,73,89,80
107,91,82,74
105,99,89,69
134,108,109,117
61,103,60,50
113,134,109,95
134,125,127,135
136,134,113,135
137,138,116,139
140,129,141,142
91,107,113,114
134,124,108,117
143,113,115,144
28,18,20,21
145,100,15,146
90,45,36,49
93,104,119,98
134,136,147,135
148,90,106,149
150,116,151,139
117,109,134,95
142,129,141,146
15,141,129,146
66,63,100,102
64,77,152,79
19,26,20,21
113,127,134,95
135,113,153,143
153,136,113,135
148,154,155,149
90,122,45,49
109,96,110,133
103,154,60,50
91,84,95,87
120,108,156,117
157,158,159,160
115,144,137,139
125,134,147,135
111,120,108,161
73,121,89,105
122,148,162,163
119,129,130,118
117,126,124,156
89,53,112,55
70,51,55,54
136,153,147,135
106,148,122,90
136,134,109,113
164,73,121,80
97,164,80,73
154,106,60,50
75,165,71,97
166,15,128,16
120,110,162,132
138,151,116,139
103,93,104,167
141,128,129,140
127,117,134,95
15,128,129,141
86,85,83,47
130,104,168,169
104,130,168,131
125,170,127,135
171,115,113,107
160,158,172,157
140,169,129,142
111,132,120,161
173,116,121,105
174,126,156,124
125,124,134,127
156,108,124,117
164,175,116,173
116,139,115,137
113,109,91,95
142,169,129,130
47,86,85,88
113,115,153,143
115,153,136,113
152,146,118,102
163,90,122,148
130,104,119,131
104,119,169,130
133,110,109,111
134,124,117,127
155,148,149,176
177,154,155,148
129,142,130,146
11,7,9,10
148,162,132,178
4,1,0,3
105,99,116,121
116,179,138,137
165,80,71,97
146,145,100,102
174,156,180,181
50,106,36,90
139,116,115,150
109,96,87,95
152,77,118,79
125,174,124,126
121,73,173,105
110,163,132,111
108,120,156,161
182,155,183,176
144,113,115,107
162,163,148,132
11,13,7,10
88,96,87,133
148,106,154,149
119,152,129,118
146,152,145,102
162,184,120,132
122,162,110,163
150,31,143,139
185,186,172,182
83,91,84,114
99,105,116,69
19,27,26,21
107,91,113,171
144,115,143,139
187,177,155,148
148,155,188,176
31,153,150,143
189,103,104,167
189,185,155,183
132,190,120,161
133,88,96,49
191,192,193,194
129,15,145,16
195,148,162,177
96,133,49,163
125,170,126,127
109,113,91,136
96,95,109,110
137,144,115,69
96,110,133,163
175,151,116,138
196,128,15,141
197,196,198,199
174,191,194,200
103,61,93,167
201,202,203,204
119,129,169,130
14,15,166,16
100,66,145,76
135,153,22,143
197,196,199,166
150,205,151,206
205,206,150,31
204,203,201,207
203,208,201,207
148,122,162,177
146,130,129,118
58,57,40,42
193,192,209,194
187,155,210,211
212,213,214,215
196,141,19,128
153,135,22,147
208,194,207,216
217,28,218,219
219,28,218,220
27,19,221,18
177,106,154,148
28,220,222,218
179,116,138,175
194,209,193,216
32,100,15,145
223,221,222,18
171,115,136,113
224,225,226,227
179,116,173,137
128,196,15,166
104,169,228,168
115,150,143,139
163,162,110,132
145,16,32,34
137,115,116,69
15,129,145,146
103,61,167,50
69,99,53,107
24,229,230,30
57,41,40,42
231,232,233,234
115,150,153,143
32,145,76,100
84,91,95,114
174,125,235,170
163,110,133,111
236,237,238,239
184,162,178,132
27,196,128,166
115,69,107,99
161,156,108,181
32,75,97,165
148,106,122,177
27,199,196,166
145,32,76,34
79,119,93,118
185,210,155,211
49,122,96,163
183,185,155,182
104,167,93,131
220,219,28,18
165,164,80,97
220,28,222,18
222,218,240,28
154,167,50,103
110,96,122,163
107,114,91,74
6,219,1,220
241,192,193,191
33,198,242,197
218,219,1,217
219,218,1,220
148,195,162,178
243,244,245,246
243,245,247,246
231,232,248,233
188,155,211,176
178,249,184,190
230,229,250,30
