0,1,2,3,4,5,6,7,8,9
10,0,11,2,12,13,14,15,6,16
17,18,19,20,21,22,23,24,25,26
11,0,1,2,13,4,27,16,6,5
28,29,30,31,32,33,34,35,36,37
17,19,38,20,23,39,40,24,26,41
42,43,17,20,44,45,46,47,48,24
10,49,0,2,50,51,12,15,52,6
2,53,54,20,55,56,57,58,59,60
42,61,62,63,64,65,66,67,68,69
70,71,72,73,74,75,76,77,78,79
80,81,19,82,83,84,85,86,87,88
89,28,90,91,92,93,94,95,96,97
98,28,29,30,99,32,100,101,34,33
61,102,42,62,103,104,64,65,105,66
17,43,42,62,45,44,46,106,107,66
19,18,17,81,22,21,23,84,108,109
38,19,17,42,39,23,40,110,111,46
112,91,19,81,113,114,115,116,117,84
38,43,118,119,120,121,122,123,124,125
0,126,1,3,127,128,4,7,129,8
118,2,3,20,130,9,131,132,58,133
134,90,89,28,135,94,136,137,93,92
138,139,140,42,141,142,143,144,145,146
147,148,38,149,150,151,152,153,154,155
156,80,82,157,158,86,159,160,161,162
163,43,62,63,164,107,165,166,167,69
81,82,80,157,87,86,83,168,162,161
38,118,149,119,122,169,155,123,125,170
38,42,17,20,110,46,40,41,47,24
171,148,71,172,173,174,175,176,177,178
38,149,43,119,155,179,120,123,170,124
19,28,38,91,180,181,39,114,96,182
42,63,38,172,67,183,110,184,185,186
0,2,126,3,6,187,127,7,9,129
19,18,38,20,22,188,39,26,25,41
189,10,2,54,190,15,191,192,193,57
38,149,118,194,155,169,122,195,196,197
11,189,10,2,198,190,14,16,191,15
80,112,19,81,199,115,85,83,116,84
38,147,28,200,152,201,181,202,203,204
205,81,80,157,206,83,207,208,168,161
138,139,42,172,141,145,144,209,210,184
211,3,43,119,212,213,214,215,216,124
17,42,19,82,46,111,23,217,218,88
118,3,43,20,131,213,121,132,133,48
219,3,211,119,220,212,221,222,216,215
148,42,38,172,223,110,151,177,184,186
70,149,71,73,224,225,74,77,226,78
49,2,10,227,52,15,50,228,229,230
231,53,232,233,234,235,236,237,238,239
205,80,156,157,207,158,240,208,161,160
232,233,53,241,239,238,235,242,243,244
118,43,38,20,121,120,122,132,48,41
90,91,28,245,97,96,93,246,247,248
38,43,42,20,120,44,110,41,48,47
249,80,19,82,250,85,251,252,86,88
38,148,147,200,151,150,152,202,253,203
18,54,53,20,254,56,255,25,60,59
28,18,38,91,256,188,181,96,257,182
0,49,126,2,51,258,127,6,52,187
28,53,38,31,259,260,181,35,261,262
43,149,38,63,179,155,120,167,263,183
28,38,18,31,181,188,256,35,262,264
148,149,147,71,154,153,150,174,225,265
53,30,29,31,266,33,267,261,37,36
19,38,28,245,39,181,180,268,269,248
38,42,148,270,110,223,151,271,272,273
71,200,274,275,276,277,278,279,280,281
18,91,28,31,257,96,256,264,282,35
163,62,283,63,165,284,285,166,69,286
38,18,53,20,188,255,260,41,25,59
287,118,233,241,288,289,290,291,292,243
38,63,149,172,183,263,155,186,185,293
89,294,28,91,295,296,92,95,297,96
90,28,134,245,93,137,135,246,248,298
138,42,140,270,144,146,143,299,272,300
118,194,2,20,197,301,130,132,302,58
134,89,303,28,136,304,305,137,92,306
307,140,139,42,308,142,309,310,146,145
11,2,1,311,16,5,27,312,313,314
147,38,28,194,152,181,201,315,195,316
42,43,38,63,44,120,110,67,167,183
274,73,71,275,317,78,278,281,318,279
319,98,320,30,321,322,323,324,101,325
319,28,98,30,326,99,321,324,34,101
327,91,112,81,328,113,329,330,117,116
231,53,233,30,234,238,237,331,266,332
38,28,148,200,181,333,151,202,204,253
211,334,335,119,336,337,338,215,339,340
189,341,10,54,342,343,190,192,344,193
345,53,31,54,346,261,347,348,56,349
112,249,80,19,350,250,199,115,251,85
149,63,43,119,263,167,179,170,351,124
19,148,38,245,352,151,39,268,353,269
38,148,19,270,151,352,39,271,273,354
138,172,42,270,209,184,144,299,355,272
219,118,3,119,356,131,220,222,125,216
18,91,357,81,257,358,359,108,117,360
148,38,149,172,151,155,154,177,186,293
