0,1,2,3
4,5,6,7
0,8,1,3
9,7,6,10
11,6,4,5
12,13,14,2
5,7,15,16
17,11,4,5
18,1,8,3
19,11,20,6
15,7,21,16
9,22,7,10
21,7,23,16
24,25,26,27
4,6,9,7
28,29,6,30
9,6,31,10
14,2,13,32
19,28,33,6
34,24,1,25
35,28,6,30
9,36,22,10
35,6,5,30
37,38,39,16
19,35,6,5
20,6,11,5
40,15,21,16
19,6,20,5
41,4,11,6
0,1,42,2
0,43,8,3
17,4,44,5
21,23,45,16
46,13,47,32
12,14,48,2
9,4,41,6
49,5,15,16
13,23,47,32
37,39,5,16
0,2,42,3
50,7,51,10
19,35,28,6
12,13,2,52
53,50,51,10
37,39,54,30
8,1,18,25
55,26,24,25
56,33,28,6
57,29,28,30
38,54,37,39
6,29,28,58
59,60,46,13
60,13,61,62
29,26,25,27
15,5,44,7
14,13,46,32
41,31,9,6
29,25,24,27
56,6,28,58
17,20,11,5
63,18,8,3
64,23,21,7
37,65,38,16
66,61,13,67
34,55,24,25
36,9,31,10
37,5,39,30
68,51,50,7
61,62,13,67
22,51,7,10
68,51,53,50
69,70,41,6
37,5,65,16
61,60,66,13
71,59,46,13
55,26,72,24
12,71,14,13
47,23,13,62
4,44,5,7
39,24,13,67
56,73,33,6
64,45,21,23
47,46,60,13
39,13,62,67
0,8,74,1
75,71,12,13
19,76,11,6
46,14,71,13
57,77,28,29
4,78,44,7
33,76,19,6
12,2,48,52
76,69,41,6
66,60,59,13
79,1,34,24
60,47,13,62
80,39,62,67
19,20,35,5
76,33,73,6
81,37,54,30
73,70,69,6
42,2,1,52
82,64,21,7
21,45,40,16
64,23,7,83
72,34,55,24
72,24,26,27
84,38,85,39
86,2,1,3
13,39,86,24
87,50,10,3
38,85,39,16
15,49,44,5
88,10,18,3
22,89,51,10
86,1,18,3
14,90,2,32
86,39,13,62
68,7,50,83
13,2,86,32
75,66,71,13
39,16,85,62
75,13,12,52
53,51,89,10
11,76,41,6
87,10,91,3
92,29,26,25
93,24,39,67
43,63,8,3
60,61,94,62
66,59,71,13
42,0,95,1
85,80,39,62
4,9,78,7
96,2,50,3
29,24,39,27
86,29,1,24
29,5,6,30
18,10,88,97
80,93,39,67
79,1,24,52
8,18,98,25
77,28,29,58
8,74,1,25
99,100,54,39
57,28,101,30
88,18,102,3
73,69,76,6
39,86,16,62
38,84,54,39
103,50,96,2
86,18,10,3
0,42,43,3
93,104,39,27
86,6,29,5
86,39,29,24
87,105,91,10
31,10,6,97
46,47,106,32
98,63,107,18
108,18,88,97
84,85,80,39
56,28,77,58
13,86,23,32
86,7,5,16
47,23,106,32
87,109,110,50
24,67,111,52
13,1,86,2
96,110,109,50
48,14,90,2
70,6,73,97
18,1,86,25
70,31,6,97
41,70,31,6
23,16,86,62
50,86,2,32
1,24,29,25
63,98,8,18
93,39,24,27
40,49,15,16
87,50,53,10
104,80,93,39
85,16,112,62
86,10,50,3
9,22,113,7
86,23,7,16
112,16,114,62
50,2,103,32
13,86,1,24
86,50,2,3
115,70,73,97
104,84,80,39
116,21,15,7
86,6,7,10
117,1,79,52
100,39,99,27
81,5,37,30
6,5,86,7
68,53,118,50
74,95,0,1
45,119,114,23
49,65,5,16
86,5,29,30
45,23,114,16
92,26,55,25
66,75,120,13
99,54,84,39
6,58,56,97
121,114,119,23
100,54,39,30
116,15,44,7
86,18,6,10
79,122,34,1
86,13,23,62
123,2,96,3
99,84,104,39
39,86,5,16
6,18,86,29
50,23,86,32
64,7,82,83
79,24,111,52
87,109,50,3
1,29,86,25
80,62,124,67
108,102,88,18
88,91,10,3
120,13,75,52
86,29,39,30
57,101,29,30
98,107,125,18
86,39,5,30
125,18,58,25
18,86,29,25
86,23,50,83
126,23,127,32
128,110,96,50
117,122,79,1
36,89,22,10
108,88,129,97
120,67,13,52
86,7,50,10
85,130,112,16
87,110,118,50
96,50,109,3
120,111,67,52
82,21,116,7
121,112,114,62
20,17,131,5
106,23,126,32
121,23,132,62
18,29,6,58
132,23,47,62
94,62,61,67
133,77,57,29
102,107,63,18
102,18,63,3
93,134,104,27
87,53,105,10
103,96,123,2
132,106,47,23
115,56,58,97
132,126,106,23
127,126,135,23
136,35,137,30
8,138,74,25
87,118,53,50
135,45,64,23
86,50,7,83
133,57,101,29
100,30,39,27
128,139,50,32
90,14,46,32
13,67,24,52
22,51,113,7
44,78,116,7
38,130,85,16
48,2,140,52
86,7,23,83
128,50,103,32
141,120,75,52
98,18,125,25
68,142,51,7
68,142,7,83
143,68,118,50
128,96,103,50
138,1,74,25
103,2,144,32
23,32,50,83
35,5,137,30
87,91,109,3
137,5,81,30
131,17,44,5
145,10,31,97
66,13,120,67
48,90,144,2
125,18,146,58
37,81,137,5
29,39,30,27
143,50,128,83
65,147,38,16
108,146,125,18
