Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,1.213423,2.765760,16.620499,1.377669,1.407461,1.212228,2.691170,1.376927,1.405009
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.959644,3.426407,12.424242,1.348796,1.324088,0.968928,3.547923,1.351167,1.330505
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,0.000000,0.000000,0.000000,0.000000,0.594368,2.337788,11.357341,1.444638,1.425810,0.594349,2.338154,1.424067,1.405767
tri3_tex8_grey_cubic_catmull_rom_direct,tri3,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.848593,1.063160,12.326870,0.861101,0.842001,0.848689,1.074598,0.868581,0.849150
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.515460,2.145243,10.540541,1.796598,1.805388,0.518130,2.174782,1.768476,1.812945
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.574293,2.175553,8.611111,1.712616,1.700176,0.575139,2.223083,1.698614,1.714097
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,0.000000,0.000000,0.000000,0.000000,0.523412,1.729739,14.027778,1.389914,1.382774,0.526168,1.711313,1.376869,1.380132
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.649955,2.254232,9.712722,1.911804,1.963475,0.654202,2.306215,1.940491,1.981332
tri3_tex8_grey_quintic_bspline_direct,tri3,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.512403,1.219313,16.620499,0.986592,0.996714,0.512382,1.234363,0.996424,1.006748
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.583400,1.583094,12.448700,1.488383,1.464887,0.586792,1.567439,1.500037,1.464532
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,0.000000,0.000000,0.000000,0.000000,0.430421,2.001354,8.355795,0.991748,0.979100,0.430383,2.026311,1.000463,0.986762
tri3_tex8_rgb_cubic_catmull_rom_direct,tri3,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.581691,1.761874,13.123360,1.278466,1.270461,0.581826,1.731504,1.271635,1.286794
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.455898,1.415899,11.658031,1.172029,1.159802,0.457986,1.436231,1.171734,1.146505
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri3,tex8_rgb,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.330580,1.792234,11.802853,1.245902,1.239014,0.331677,1.800538,1.261473,1.254406
tri3_tex8_rgb_lanczos3_lut_lerp,tri3,tex8_rgb,lanczos3,0.000000,0.000000,0.000000,0.000000,0.654901,1.379816,9.712722,1.237699,1.265901,0.659219,1.399123,1.253188,1.282132
tri3_tex8_rgb_cubic_bspline_lut_lerp,tri3,tex8_rgb,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.554339,1.607625,8.689459,1.265706,1.275351,0.551278,1.615236,1.281891,1.291782
tri3_tex8_rgb_quintic_bspline_direct,tri3,tex8_rgb,quintic_bspline,0.000000,0.000000,0.000000,0.000000,1.008535,1.523379,8.285714,1.203347,1.198803,1.012804,1.527356,1.218003,1.213350
tri3_tex8_rgb_quintic_bspline_lut_lerp,tri3,tex8_rgb,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.952554,1.517927,14.911081,1.243603,1.261338,0.961715,1.535958,1.253968,1.277446
tri3_texfunc_grey_param_constant,tri3,texfunc_grey,constant,0.000000,0.000000,0.000000,0.000000,0.484141,6.117442,15.373961,2.698701,2.748759,0.485103,6.340336,2.627796,2.675233
tri3_texfunc_grey_uv_constant,tri3,texfunc_grey,constant,0.000000,0.000000,0.000000,0.000000,0.568917,4.543589,23.045822,1.946948,1.950203,0.572173,4.477519,1.946155,1.988982
tri3_texfunc_grey_param_sinusoidal,tri3,texfunc_grey,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.441669,1.604094,20.775623,1.458433,1.448176,0.443629,1.605770,1.480085,1.469514
tri3_texfunc_grey_uv_sinusoidal,tri3,texfunc_grey,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.577236,1.938729,19.305556,1.304734,1.344468,0.580308,1.951935,1.321977,1.362793
tri3_texfunc_rgb_param_constant,tri3,texfunc_rgb,constant,0.000000,0.000000,0.000000,0.000000,0.419333,3.327059,8.108108,1.380592,1.382769,0.421099,3.322030,1.394080,1.390831
tri3_texfunc_rgb_uv_constant,tri3,texfunc_rgb,constant,0.000000,0.000000,0.000000,0.000000,0.383668,2.356886,9.833795,1.166521,1.154587,0.385145,2.413829,1.153070,1.141409
tri3_texfunc_rgb_param_sinusoidal,tri3,texfunc_rgb,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.569672,1.935089,7.742782,1.389456,1.414863,0.569800,1.973023,1.409034,1.435166
tri3_texfunc_rgb_uv_sinusoidal,tri3,texfunc_rgb,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.449313,1.310740,6.614786,1.064292,1.062947,0.451341,1.318028,1.075744,1.074370
tri6_nodal_grey,tri6,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.854040,1.841934,23.622047,1.519190,1.516358,0.859757,1.825571,1.527381,1.527205
tri6_nodal_rgb,tri6,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.499240,1.989523,11.395349,1.205660,1.196599,0.499206,1.950710,1.206324,1.197864
tri6_tex8_grey_linear_direct,tri6,tex8_grey,linear,0.000000,0.000000,0.000000,0.000000,0.652367,2.469804,11.494253,2.006736,1.990860,0.652421,2.532348,2.043375,2.007309
tri6_tex8_grey_cubic_catmull_rom_direct,tri6,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.578223,1.108870,7.662835,0.820571,0.824661,0.581586,1.108516,0.816145,0.819661
tri6_tex8_grey_cubic_catmull_rom_lut_lerp,tri6,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.571450,1.283074,4.214559,1.015569,1.058023,0.574727,1.299748,1.026003,1.069311
tri6_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri6,tex8_grey,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.562399,1.198133,4.038462,0.907335,0.891925,0.564136,1.183931,0.907573,0.895098
tri6_tex8_grey_lanczos3_lut_lerp,tri6,tex8_grey,lanczos3,0.000000,0.000000,0.000000,0.000000,0.472660,1.532029,8.310249,1.252451,1.242736,0.471865,1.541508,1.262946,1.258370
tri6_tex8_grey_cubic_bspline_lut_lerp,tri6,tex8_grey,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.502831,1.273421,15.384615,1.101032,1.080783,0.505372,1.269570,1.101061,1.080683
tri6_tex8_grey_quintic_bspline_direct,tri6,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.371020,0.757309,23.939394,0.770174,0.767982,0.372402,0.756887,0.770356,0.768095
tri6_tex8_grey_quintic_bspline_lut_lerp,tri6,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.468641,1.891761,4.214559,1.691034,1.677508,0.468678,1.913121,1.696159,1.705913
tri6_tex8_rgb_linear_direct,tri6,tex8_rgb,linear,0.000000,0.000000,0.000000,0.000000,0.639867,1.523300,15.027322,1.252964,1.250743,0.639919,1.530044,1.237466,1.235298
tri6_tex8_rgb_cubic_catmull_rom_direct,tri6,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.443039,1.159828,8.857143,0.985585,0.989672,0.445009,1.148707,0.995396,0.999563
tri6_tex8_rgb_cubic_catmull_rom_lut_lerp,tri6,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.378457,0.888989,27.925117,0.830727,0.831845,0.378454,0.884613,0.835191,0.838079
