Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.046790,0.081807,0.000060,0.093424,0.096350,0.000006,14.557532,3.248758,3.283871
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.109585,0.151470,0.000041,0.213956,0.211079,0.000002,12.841192,1.362859,1.335387
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,0.000000,0.000000,0.000000,0.000000,0.022919,0.141045,0.000041,0.143065,0.142162,0.000003,6.200697,2.300793,2.255857
tri3_tex8_grey_cubic_catmull_rom_direct,tri3,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.032748,0.105492,0.000045,0.118518,0.116438,0.000004,1.732794,1.009718,0.982473
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.019913,0.215853,0.000039,0.249964,0.252363,0.000003,3.458224,2.033727,2.075147
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.022233,0.217817,0.000031,0.237500,0.237020,0.000003,3.552689,1.959813,1.967286
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,0.000000,0.000000,0.000000,0.000000,0.020274,0.224571,0.000051,0.234404,0.234179,0.000003,2.109006,1.306278,1.303902
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.025203,0.225965,0.000035,0.265670,0.274356,0.000003,3.681105,2.234254,2.268758
tri3_tex8_grey_quintic_bspline_direct,tri3,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.019873,0.206887,0.000060,0.205483,0.208319,0.000003,1.163981,0.765466,0.770695
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.022700,0.204847,0.000046,0.250700,0.247875,0.000003,1.938152,1.424891,1.384808
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,0.000000,0.000000,0.000000,0.000000,0.049495,0.163794,0.000031,0.195038,0.193341,0.000001,3.961444,0.813958,0.799531
tri3_tex8_rgb_cubic_catmull_rom_direct,tri3,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.066959,0.249102,0.000050,0.327949,0.327026,0.000001,1.959484,0.793168,0.799848
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.052636,0.206686,0.000045,0.306503,0.304374,0.000001,1.574221,0.716891,0.698993
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri3,tex8_rgb,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.038028,0.250921,0.000046,0.318354,0.317544,0.000001,2.057694,0.789900,0.783124
tri3_tex8_rgb_lanczos3_lut_lerp,tri3,tex8_rgb,lanczos3,0.000000,0.000000,0.000000,0.000000,0.075711,0.291509,0.000035,0.404993,0.415405,0.000001,1.059610,0.612779,0.625144
