Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,2.000000,2.000000,1600000.000000,1600000.000000,6.038266,4.879846,0.003948,9.296592,9.375104,0.000541,608.614945,249.034292,246.240333
tri3_nodal_rgb,tri3,nodal_rgb,nodal,2.000000,2.000000,1600000.000000,1600000.000000,14.237716,6.453182,0.000961,18.565783,18.639556,0.000181,388.888767,105.045734,104.493918
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,2.000000,2.000000,1600000.000000,1600000.000000,4.541497,7.051359,0.000741,11.064224,11.124027,0.000542,286.021555,172.239549,171.152777
tri3_tex8_grey_cubic_catmull_rom_direct,tri3,tex8_grey,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,5.990084,12.221852,0.000751,16.518770,16.586089,0.000535,167.275340,119.217584,118.611721
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,4.560193,12.167877,0.000761,16.006105,16.072674,0.000529,164.132041,117.584739,116.994813
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,2.000000,2.000000,1600000.000000,1600000.000000,6.170211,12.580820,0.000702,16.569268,16.637216,0.000521,165.496554,118.121987,117.527716
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,2.000000,2.000000,1600000.000000,1600000.000000,5.897617,15.329249,0.000881,19.350648,19.417206,0.000522,128.555659,98.177488,97.772540
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,4.536137,12.240828,0.000812,16.078145,16.143019,0.000524,165.485069,118.252669,117.685869
tri3_tex8_grey_quintic_bspline_direct,tri3,tex8_grey,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,5.904680,22.192898,0.000782,26.289052,26.370126,0.000521,96.117259,77.928493,77.630545
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,4.269225,15.266558,0.000952,19.131177,19.197936,0.000521,129.730133,98.750723,98.317124
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,2.000000,2.000000,1600000.000000,1600000.000000,14.556186,10.675016,0.001072,22.663249,22.739455,0.000177,205.120184,83.513937,83.152913
tri3_tex8_rgb_cubic_catmull_rom_direct,tri3,tex8_rgb,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,15.594757,16.554808,0.001082,30.373791,30.449216,0.000176,116.917306,63.726397,63.522337
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,13.558624,17.402193,0.003577,28.982064,29.054061,0.000175,114.011078,62.674846,62.461306
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri3,tex8_rgb,cubic_mitchell_netravali,2.000000,2.000000,1600000.000000,1600000.000000,14.610300,17.097348,0.008847,29.308598,29.384755,0.000177,117.727512,63.813870,63.615968
tri3_tex8_rgb_lanczos3_lut_lerp,tri3,tex8_rgb,lanczos3,2.000000,2.000000,1600000.000000,1600000.000000,14.403273,23.548256,0.001373,36.520104,36.602513,0.000175,78.211732,49.954176,49.821392
tri3_tex8_rgb_cubic_bspline_lut_lerp,tri3,tex8_rgb,cubic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,14.857965,16.450618,0.000641,29.224306,29.297988,0.000178,118.475595,64.060414,63.863457
tri3_tex8_rgb_quintic_bspline_direct,tri3,tex8_rgb,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,14.060856,28.200294,0.001483,40.165052,40.242811,0.000177,64.664477,44.132641,44.039220
tri3_tex8_rgb_quintic_bspline_lut_lerp,tri3,tex8_rgb,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,14.448921,24.066679,0.000691,36.688418,36.764122,0.000179,78.533397,50.369779,50.246164
tri3_texfunc_grey_param_constant,tri3,texfunc_grey,constant,2.000000,2.000000,1600000.000000,1600000.000000,6.047824,5.439087,0.000822,9.450017,9.524329,0.000522,529.209731,232.938696,230.637945
tri3_texfunc_grey_uv_constant,tri3,texfunc_grey,constant,2.000000,2.000000,1600000.000000,1600000.000000,4.145577,5.459857,0.000912,9.336850,9.411603,0.000520,519.349670,229.572990,227.423654
tri3_texfunc_grey_param_sinusoidal,tri3,texfunc_grey,sinusoidal,2.000000,2.000000,1600000.000000,1600000.000000,4.648282,9.233622,0.001402,13.122779,13.195848,0.000518,224.823492,145.275658,144.409923
tri3_texfunc_grey_uv_sinusoidal,tri3,texfunc_grey,sinusoidal,2.000000,2.000000,1600000.000000,1600000.000000,6.061871,9.890261,0.000801,15.952603,16.019752,0.000518,192.564159,130.645754,129.866978
tri3_texfunc_rgb_param_constant,tri3,texfunc_rgb,constant,2.000000,2.000000,1600000.000000,1600000.000000,14.235962,7.933911,0.000871,20.342700,20.418785,0.000176,297.613678,95.155367,94.727968
tri3_texfunc_rgb_uv_constant,tri3,texfunc_rgb,constant,2.000000,2.000000,1600000.000000,1600000.000000,14.496301,6.553734,0.000661,20.445988,20.518376,0.000176,297.748537,94.902947,94.467566
tri3_texfunc_rgb_param_sinusoidal,tri3,texfunc_rgb,sinusoidal,2.000000,2.000000,1600000.000000,1600000.000000,15.563997,15.657286,0.001072,28.864146,28.939079,0.000176,127.423313,66.539501,66.314578
tri3_texfunc_rgb_uv_sinusoidal,tri3,texfunc_rgb,sinusoidal,2.000000,2.000000,1600000.000000,1600000.000000,14.378054,18.558058,0.000782,30.088724,30.161804,0.000177,112.718818,62.567343,62.382935
tri6_nodal_grey,tri6,nodal_grey,nodal,2.000000,2.000000,1600000.000000,1600000.000000,6.189295,11.869625,0.006703,16.368149,16.429537,0.000536,171.641775,121.508953,120.881300
tri6_nodal_rgb,tri6,nodal_rgb,nodal,2.000000,2.000000,1600000.000000,1600000.000000,14.954260,13.171210,0.000811,26.213565,33.710917,0.000178,152.660641,73.081248,72.809319
tri6_tex8_grey_linear_direct,tri6,tex8_grey,linear,2.000000,2.000000,1600000.000000,1600000.000000,6.030782,13.194956,0.000651,18.358264,18.431496,0.000522,146.560692,108.256793,107.774662
tri6_tex8_grey_cubic_catmull_rom_direct,tri6,tex8_grey,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,4.526278,18.276678,0.000712,22.174111,22.242411,0.000519,106.709172,84.689113,84.378609
tri6_tex8_grey_cubic_catmull_rom_lut_lerp,tri6,tex8_grey,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,4.070835,18.836752,0.000762,22.714256,22.782526,0.000522,105.199153,83.851545,83.567780
tri6_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri6,tex8_grey,cubic_mitchell_netravali,2.000000,2.000000,1600000.000000,1600000.000000,6.138188,18.120248,0.000601,22.787745,22.855897,0.000521,104.671934,83.497123,83.132097
tri6_tex8_grey_lanczos3_lut_lerp,tri6,tex8_grey,lanczos3,2.000000,2.000000,1600000.000000,1600000.000000,6.099091,20.687670,0.000671,25.268080,25.334889,0.000522,88.848443,73.136204,72.888744
tri6_tex8_grey_cubic_bspline_lut_lerp,tri6,tex8_grey,cubic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,6.120764,18.022872,0.000792,22.537335,22.618081,0.000519,105.523579,84.110395,83.786483
