Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,2.000000,2.000000,1600000.000000,1600000.000000,3.856033,2.957831,0.000361,6.781311,6.845625,0.000519,540.936923,235.942578,233.725938
tri3_nodal_rgb,tri3,nodal_rgb,nodal,2.000000,2.000000,1600000.000000,1600000.000000,11.419388,4.420680,0.000330,15.862737,15.941503,0.000175,361.935449,100.865322,100.366951
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,2.000000,2.000000,1600000.000000,1600000.000000,3.856028,6.033268,0.000361,9.903136,9.970611,0.000519,265.196269,161.564985,160.471619
tri3_tex8_grey_cubic_catmull_rom_direct,tri3,tex8_grey,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,3.859094,9.922453,0.000361,13.763538,13.828778,0.000518,161.250475,116.249184,115.700757
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,3.863152,10.061961,0.000370,13.913189,13.978354,0.000518,159.014750,114.998851,114.462738
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,2.000000,2.000000,1600000.000000,1600000.000000,3.871368,10.012030,0.000360,13.867672,13.940877,0.000517,159.809093,115.377190,114.771039
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,2.000000,2.000000,1600000.000000,1600000.000000,3.873427,12.982911,0.000360,16.864643,16.935409,0.000516,123.239051,94.873049,94.476612
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,3.877574,10.024014,0.000366,13.896297,13.972984,0.000516,159.616713,115.138587,114.506706
tri3_tex8_grey_quintic_bspline_direct,tri3,tex8_grey,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,3.878391,16.967460,0.000361,20.827550,20.900580,0.000516,94.298149,76.821326,76.552902
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,3.890895,12.939658,0.000366,16.843813,16.921130,0.000514,123.650878,94.990375,94.556333
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,2.000000,2.000000,1600000.000000,1600000.000000,11.499201,8.184161,0.000371,19.666134,19.746808,0.000174,195.500268,81.358138,81.025756
tri3_tex8_rgb_cubic_catmull_rom_direct,tri3,tex8_rgb,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,11.511004,14.138471,0.000381,25.651754,25.740779,0.000174,113.166569,62.373903,62.158190
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,11.545560,14.597506,0.000386,26.151452,26.243578,0.000173,109.607775,61.182076,60.967297
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri3,tex8_rgb,cubic_mitchell_netravali,2.000000,2.000000,1600000.000000,1600000.000000,11.503253,14.000456,0.000386,25.552086,25.628800,0.000174,114.282210,62.617288,62.429862
tri3_tex8_rgb_lanczos3_lut_lerp,tri3,tex8_rgb,lanczos3,2.000000,2.000000,1600000.000000,1600000.000000,11.560674,21.126623,0.000366,32.721458,32.815001,0.000173,75.733831,48.897588,48.758190
tri3_tex8_rgb_cubic_bspline_lut_lerp,tri3,tex8_rgb,cubic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,11.541232,13.980037,0.000351,25.500994,25.584399,0.000173,114.448922,62.742679,62.538140
