Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,2.000000,2.000000,1600000.000000,1600000.000000,3.696256,2.628920,0.000160,6.424818,6.497717,0.000331,327.879199,172.106079,170.664773
tri3_nodal_rgb,tri3,nodal_rgb,nodal,2.000000,2.000000,1600000.000000,1600000.000000,11.035838,4.114287,0.000270,15.231461,15.311896,0.000140,247.939699,86.180044,85.838955
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,2.000000,2.000000,1600000.000000,1600000.000000,3.689985,5.593984,0.000140,9.289388,9.348373,0.000440,226.906615,144.610232,143.832804
tri3_tex8_grey_cubic_catmull_rom_direct,tri3,tex8_grey,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,3.741653,9.565068,0.000150,13.420839,13.489392,0.000334,130.913056,96.859512,96.466382
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,3.783233,9.748249,0.000140,13.607208,13.675820,0.000439,131.493768,99.961858,99.547841
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,2.000000,2.000000,1600000.000000,1600000.000000,3.838329,9.667875,0.000140,13.545319,13.613810,0.000324,127.177720,96.564314,96.169936
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,2.000000,2.000000,1600000.000000,1600000.000000,3.828781,12.445971,0.000140,16.297015,16.364513,0.000339,104.375629,82.684570,82.401145
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,3.815976,9.668546,0.000160,13.530350,13.595515,0.000441,130.710112,99.513968,99.114050
tri3_tex8_grey_quintic_bspline_direct,tri3,tex8_grey,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,3.839050,16.646334,0.000140,20.531643,20.610444,0.000339,72.095136,60.861837,60.674720
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,3.840933,12.333295,0.000150,16.202413,16.273869,0.000468,104.804239,83.633119,83.342293
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,2.000000,2.000000,1600000.000000,1600000.000000,11.297369,7.800305,0.000271,19.158479,19.241659,0.000137,149.882679,70.598880,70.362284
tri3_tex8_rgb_cubic_catmull_rom_direct,tri3,tex8_rgb,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,11.334289,13.684886,0.000291,25.107335,25.187990,0.000128,96.648659,52.676994,52.546509
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,2.000000,2.000000,1600000.000000,1600000.000000,11.442678,14.033724,0.000291,25.528583,25.615859,0.000148,91.942435,55.206558,55.069754
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri3,tex8_rgb,cubic_mitchell_netravali,2.000000,2.000000,1600000.000000,1600000.000000,11.285507,13.590706,0.000280,25.072919,25.150918,0.000137,93.581765,54.591489,54.450003
tri3_tex8_rgb_lanczos3_lut_lerp,tri3,tex8_rgb,lanczos3,2.000000,2.000000,1600000.000000,1600000.000000,11.435704,20.457289,0.000290,32.029354,32.114719,0.000139,67.945584,43.811485,43.712846
tri3_tex8_rgb_cubic_bspline_lut_lerp,tri3,tex8_rgb,cubic_bspline,2.000000,2.000000,1600000.000000,1600000.000000,11.256421,13.504891,0.000271,24.976423,25.053451,0.000135,97.260784,54.748948,54.611259
