Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,204800.000000,204800.000000,1600000.000000,1664000.000000,22.970030,16.362980,0.000511,39.342061,42.348978,8.915966,97.781700,40.668943,37.781314
tri3_nodal_rgb,tri3,nodal_rgb,nodal,204800.000000,204800.000000,1600000.000000,1664000.000000,35.355429,22.928002,0.000501,58.301564,61.953374,5.792604,69.783681,27.443523,25.825873
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,204800.000000,204800.000000,1600000.000000,1664000.000000,23.876028,32.089695,0.000466,56.025012,64.760183,8.577641,49.860244,28.558673,24.706539
tri3_tex8_grey_cubic_catmull_rom_direct,tri3,tex8_grey,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,23.961951,48.232136,0.000431,72.280419,81.011007,8.546928,33.172904,22.136009,19.750403
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,23.943739,48.427015,0.000441,72.418261,81.206730,8.553390,33.039410,22.093875,19.702800
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,204800.000000,204800.000000,1600000.000000,1664000.000000,23.957267,48.645245,0.000521,72.744831,81.500314,8.548555,32.891190,21.994690,19.631826
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,204800.000000,204800.000000,1600000.000000,1664000.000000,23.948979,60.214834,0.000451,84.302336,93.075497,8.551514,26.571527,18.979308,17.190346
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,23.989314,48.228224,0.000451,72.391722,81.168894,8.537138,33.175596,22.101975,19.711985
tri3_tex8_grey_quintic_bspline_direct,tri3,tex8_grey,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,24.019084,75.286217,0.000486,99.423571,108.237518,8.526553,21.252247,16.092764,14.782305
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,23.970332,59.477975,0.000471,83.632286,92.520194,8.543895,26.900716,19.131368,17.293522
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,204800.000000,204800.000000,1600000.000000,1664000.000000,31.965545,42.455940,0.000466,74.423453,83.220467,6.406900,37.686129,21.498600,19.226041
tri3_tex8_rgb_cubic_catmull_rom_direct,tri3,tex8_rgb,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,31.876393,64.486389,0.000426,96.532434,105.427559,6.424818,24.811442,16.574740,15.176298
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,31.891125,68.624489,0.000446,100.619280,109.366444,6.421854,23.315292,15.901525,14.629716
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri3,tex8_rgb,cubic_mitchell_netravali,204800.000000,204800.000000,1600000.000000,1664000.000000,31.857898,66.650380,0.000426,98.619701,107.461328,6.428551,24.005865,16.223939,14.889077
tri3_tex8_rgb_lanczos3_lut_lerp,tri3,tex8_rgb,lanczos3,204800.000000,204800.000000,1600000.000000,1664000.000000,31.835111,94.459770,0.000446,126.421690,135.238358,6.433149,16.938444,12.656056,11.830963
tri3_tex8_rgb_cubic_bspline_lut_lerp,tri3,tex8_rgb,cubic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,31.876259,65.692896,0.000430,97.551546,106.544831,6.424844,24.355758,16.401585,15.017163
tri3_tex8_rgb_quintic_bspline_direct,tri3,tex8_rgb,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,31.950788,111.082555,0.000436,143.253406,152.248204,6.409858,14.403702,11.169019,10.509155
tri3_tex8_rgb_quintic_bspline_lut_lerp,tri3,tex8_rgb,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,31.927473,94.369077,0.000471,126.571604,135.543211,6.414539,16.954732,12.641066,11.804355
tri3_texfunc_grey_param_constant,tri3,texfunc_grey,constant,204800.000000,204800.000000,1600000.000000,1664000.000000,20.251560,17.727112,0.000431,37.989686,40.781271,10.112801,90.257232,42.116703,39.233698
tri3_texfunc_grey_uv_constant,tri3,texfunc_grey,constant,204800.000000,204800.000000,1600000.000000,1664000.000000,23.885152,18.932791,0.000431,43.009083,51.838741,8.574365,84.509470,37.201474,30.864949
