Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,204800.000000,204800.000000,1600000.000000,1664000.000000,22.523761,16.208876,0.000270,38.797080,41.572278,8.518861,93.638028,38.902532,31.148079
tri3_nodal_rgb,tri3,nodal_rgb,nodal,204800.000000,204800.000000,1600000.000000,1664000.000000,34.983238,22.562066,0.000341,57.708747,61.292070,5.266328,60.283391,25.450532,23.140362
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,204800.000000,204800.000000,1600000.000000,1664000.000000,23.742927,31.753337,0.000240,55.560485,64.248680,7.555730,44.320541,26.443075,21.752364
tri3_tex8_grey_cubic_catmull_rom_direct,tri3,tex8_grey,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,23.730886,47.520426,0.000240,71.307470,80.031364,7.477054,30.499390,20.469732,17.019158
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,23.773230,48.084754,0.000240,71.878516,80.569605,7.473368,30.481404,20.419184,17.820389
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,204800.000000,204800.000000,1600000.000000,1664000.000000,23.816725,48.251859,0.000251,72.123672,80.837871,7.610331,30.176329,20.542204,17.131487
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,204800.000000,204800.000000,1600000.000000,1664000.000000,23.772305,59.567037,0.000240,83.423232,92.127730,7.380376,24.703291,17.710790,15.811472
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,23.776886,47.905174,0.000231,71.735064,80.441840,7.385178,30.163679,20.434622,18.076004
tri3_tex8_grey_quintic_bspline_direct,tri3,tex8_grey,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,23.772821,74.602805,0.000260,98.443455,107.155601,7.520293,19.794674,15.117144,13.810416
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,23.791150,58.993724,0.000250,82.822977,91.589147,7.603457,24.832831,17.843858,15.956547
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,204800.000000,204800.000000,1600000.000000,1664000.000000,31.479793,41.858594,0.000320,73.422036,82.129756,5.735666,34.365157,19.788688,17.129307
tri3_tex8_rgb_cubic_catmull_rom_direct,tri3,tex8_rgb,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,31.485218,63.791517,0.000251,95.358300,104.097915,5.746634,22.842310,15.520797,13.675243
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,31.497724,67.614325,0.000260,99.259575,107.998899,5.779656,21.742347,15.005822,13.152100
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri3,tex8_rgb,cubic_mitchell_netravali,204800.000000,204800.000000,1600000.000000,1664000.000000,31.443767,65.407349,0.000251,97.109628,105.842441,5.742272,22.154657,15.259416,13.272175
tri3_tex8_rgb_lanczos3_lut_lerp,tri3,tex8_rgb,lanczos3,204800.000000,204800.000000,1600000.000000,1664000.000000,31.462345,93.065545,0.000250,124.612045,133.340621,5.708371,15.947424,12.018573,10.873275
tri3_tex8_rgb_cubic_bspline_lut_lerp,tri3,tex8_rgb,cubic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,31.475173,64.664207,0.000270,96.364531,105.126781,5.696752,22.409833,15.341037,13.537915
tri3_tex8_rgb_quintic_bspline_direct,tri3,tex8_rgb,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,31.468688,109.585770,0.000281,141.204308,150.043538,5.765191,13.601840,10.623694,9.716735
tri3_tex8_rgb_quintic_bspline_lut_lerp,tri3,tex8_rgb,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,31.442330,92.837401,0.000270,124.520954,133.235638,5.710325,15.508594,11.560727,10.872363
