Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,3.644817,0.699589,23.309788,2.619819,2.460407,3.597260,0.699577,2.660214,2.519035
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,2.686543,0.977853,14.553015,2.380876,2.392862,2.744704,0.977656,2.400596,2.366421
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,0.000000,0.000000,0.000000,0.000000,3.645408,1.621653,16.293279,2.670056,2.174857,3.707622,1.628924,2.739719,2.216837
tri3_tex8_grey_cubic_catmull_rom_direct,tri3,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,3.818078,0.948588,20.468432,2.712606,2.167124,3.804597,0.957672,2.727587,2.147941
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,4.487415,0.890239,18.918919,2.682288,2.401460,4.486982,0.898226,2.612347,2.409975
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,4.238342,0.860572,20.750988,2.352604,2.262345,4.161313,0.860555,2.364336,2.305314
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,0.000000,0.000000,0.000000,0.000000,4.687889,1.185674,18.711019,2.791120,2.428363,4.836198,1.199873,2.827273,2.488812
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,0.000000,0.000000,0.000000,0.000000,4.596626,0.533559,11.976048,2.632129,2.345275,4.721342,0.536422,2.703289,2.332944
tri3_tex8_grey_quintic_bspline_direct,tri3,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,4.215859,1.280031,17.489712,2.450941,2.267763,4.273698,1.296610,2.477597,2.246708
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,4.325445,1.220399,17.413442,2.254878,1.936512,4.244178,1.233850,2.278800,1.974744
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,0.000000,0.000000,0.000000,0.000000,2.307558,0.681227,13.972056,1.732053,1.560936,2.304057,0.685895,1.762481,1.560695
tri3_tex8_rgb_cubic_catmull_rom_direct,tri3,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,2.976267,0.397611,18.533605,1.777189,1.427727,2.994189,0.397593,1.809306,1.443954
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,2.603930,0.392748,16.067864,1.506574,1.310513,2.609746,0.394299,1.486141,1.304285
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri3,tex8_rgb,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,2.677065,0.975390,14.412417,1.922751,1.413649,2.701757,0.984996,1.922622,1.411247
tri3_tex8_rgb_lanczos3_lut_lerp,tri3,tex8_rgb,lanczos3,0.000000,0.000000,0.000000,0.000000,3.230521,0.658873,14.213710,1.600021,1.461205,3.238491,0.663250,1.595542,1.482883
tri3_tex8_rgb_cubic_bspline_lut_lerp,tri3,tex8_rgb,cubic_bspline,0.000000,0.000000,0.000000,0.000000,2.806871,0.762081,13.238289,1.861507,1.608597,2.887769,0.758920,1.860976,1.608381
tri3_tex8_rgb_quintic_bspline_direct,tri3,tex8_rgb,quintic_bspline,0.000000,0.000000,0.000000,0.000000,3.703341,1.329444,11.550468,2.190910,2.320642,3.763944,1.347312,2.239956,2.375605
tri3_tex8_rgb_quintic_bspline_lut_lerp,tri3,tex8_rgb,quintic_bspline,0.000000,0.000000,0.000000,0.000000,2.707704,0.706316,8.146640,1.840370,1.645622,2.753631,0.711336,1.862641,1.673201
tri3_texfunc_grey_param_constant,tri3,texfunc_grey,constant,0.000000,0.000000,0.000000,0.000000,5.113967,0.993488,18.246687,3.776342,3.151757,4.952319,1.003458,3.708649,3.107732
tri3_texfunc_grey_uv_constant,tri3,texfunc_grey,constant,0.000000,0.000000,0.000000,0.000000,4.775011,1.497483,17.065868,3.670857,2.976058,4.997365,1.520241,3.788050,3.067219
tri3_texfunc_grey_param_sinusoidal,tri3,texfunc_grey,sinusoidal,0.000000,0.000000,0.000000,0.000000,4.387383,0.609963,23.662551,2.773092,2.468375,4.499987,0.613706,2.756744,2.467780
tri3_texfunc_grey_uv_sinusoidal,tri3,texfunc_grey,sinusoidal,0.000000,0.000000,0.000000,0.000000,4.290006,0.599657,12.474012,2.677524,2.380389,4.438379,0.600302,2.629736,2.358942
tri3_texfunc_rgb_param_constant,tri3,texfunc_rgb,constant,0.000000,0.000000,0.000000,0.000000,2.767169,0.936499,14.553015,2.275400,2.209775,2.706816,0.945373,2.273643,2.191312
tri3_texfunc_rgb_uv_constant,tri3,texfunc_rgb,constant,0.000000,0.000000,0.000000,0.000000,1.968607,0.844970,15.884116,1.603524,1.425240,1.989695,0.846862,1.607378,1.424818
tri3_texfunc_rgb_param_sinusoidal,tri3,texfunc_rgb,sinusoidal,0.000000,0.000000,0.000000,0.000000,2.458377,0.366473,12.175649,1.583419,1.434751,2.476472,0.367821,1.605915,1.437691
tri3_texfunc_rgb_uv_sinusoidal,tri3,texfunc_rgb,sinusoidal,0.000000,0.000000,0.000000,0.000000,3.009486,0.311365,14.553015,1.805707,1.766855,3.006070,0.312337,1.815199,1.781741
tri6_nodal_grey,tri6,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,2.642668,0.392441,19.569472,1.632034,1.776912,2.648982,0.392436,1.655818,1.809040
tri6_nodal_rgb,tri6,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,2.169577,0.434231,17.404737,1.733414,1.854845,2.168982,0.436132,1.703884,1.856022
tri6_tex8_grey_linear_direct,tri6,tex8_grey,linear,0.000000,0.000000,0.000000,0.000000,3.473485,0.452159,8.316008,1.773576,1.596082,3.427595,0.454213,1.781481,1.605843
tri6_tex8_grey_cubic_catmull_rom_direct,tri6,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,2.375407,0.561265,11.976048,1.341250,1.268654,2.433202,0.564431,1.323502,1.284958
tri6_tex8_grey_cubic_catmull_rom_lut_lerp,tri6,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,2.944529,0.642798,12.738854,1.776381,1.914071,2.947185,0.646957,1.802232,1.928454
tri6_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri6,tex8_grey,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,2.835778,0.457324,13.617464,1.470552,1.678690,2.918426,0.456059,1.479775,1.693448
tri6_tex8_grey_lanczos3_lut_lerp,tri6,tex8_grey,lanczos3,0.000000,0.000000,0.000000,0.000000,2.176950,0.608541,10.224439,1.201633,1.147603,2.213655,0.612262,1.216249,1.160931
tri6_tex8_grey_cubic_bspline_lut_lerp,tri6,tex8_grey,cubic_bspline,0.000000,0.000000,0.000000,0.000000,3.232484,0.336659,13.303769,1.898312,1.545326,3.252513,0.337796,1.913705,1.569565
tri6_tex8_grey_quintic_bspline_direct,tri6,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,3.090466,0.407659,14.256619,1.380663,1.461948,3.188903,0.409326,1.389689,1.448648
tri6_tex8_grey_quintic_bspline_lut_lerp,tri6,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,2.355069,0.551509,16.985138,1.453019,1.391031,2.384952,0.554568,1.452808,1.391096
tri6_tex8_rgb_linear_direct,tri6,tex8_rgb,linear,0.000000,0.000000,0.000000,0.000000,1.119377,0.340988,12.197581,0.769390,1.015527,1.119579,0.340985,0.770693,1.019214
tri6_tex8_rgb_cubic_catmull_rom_direct,tri6,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,2.152052,0.632150,10.845987,1.415539,1.365650,2.199441,0.632215,1.435843,1.366121
tri6_tex8_rgb_cubic_catmull_rom_lut_lerp,tri6,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,2.604192,0.410806,20.366599,1.769355,1.783560,2.623127,0.412501,1.801222,1.794840
tri6_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri6,tex8_rgb,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,2.495330,0.538358,12.219959,1.722234,1.646768,2.493326,0.541272,1.723547,1.643689
tri6_tex8_rgb_lanczos3_lut_lerp,tri6,tex8_rgb,lanczos3,0.000000,0.000000,0.000000,0.000000,2.086179,0.375308,13.948498,0.975462,1.255978,2.107361,0.376722,0.985069,1.271955
tri6_tex8_rgb_cubic_bspline_lut_lerp,tri6,tex8_rgb,cubic_bspline,0.000000,0.000000,0.000000,0.000000,1.619825,0.617655,10.395010,1.240186,1.295361,1.632856,0.621492,1.240838,1.312249
tri6_tex8_rgb_quintic_bspline_direct,tri6,tex8_rgb,quintic_bspline,0.000000,0.000000,0.000000,0.000000,1.913961,0.612779,9.980040,1.126555,1.353141,1.919142,0.616550,1.125474,1.353405
