Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.394296,0.032407,0.000115,0.405203,0.454612,0.681013,2.416348,2.751919,2.181327
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.539755,0.063612,0.000070,0.634376,0.725210,0.279784,2.404586,1.441547,1.249298
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,0.000000,0.000000,0.000000,0.000000,0.415787,0.143134,0.000080,0.542029,0.631215,0.665734,2.952814,2.159356,1.222101
tri3_tex8_grey_cubic_catmull_rom_direct,tri3,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.440514,0.123072,0.000101,0.671326,0.725942,0.675342,1.181018,1.763403,1.025945
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.502583,0.115501,0.000091,0.653151,0.794674,0.820489,1.107711,1.716498,1.165249
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.478876,0.111270,0.000105,0.572582,0.749823,0.754284,1.064893,1.554318,1.112884
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,0.000000,0.000000,0.000000,0.000000,0.529716,0.191042,0.000090,0.769033,0.880297,0.876534,1.191497,1.641803,1.098491
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.523183,0.068747,0.000060,0.647587,0.782746,0.849534,0.666119,1.758012,1.118401
tri3_tex8_grey_quintic_bspline_direct,tri3,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.478988,0.257059,0.000085,0.772121,0.913471,0.770362,1.033040,1.258340,0.892420
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.494832,0.194077,0.000086,0.620130,0.703909,0.759795,1.241396,1.325765,0.869230
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,0.000000,0.000000,0.000000,0.000000,0.441721,0.077975,0.000070,0.532877,0.618366,0.246506,0.958769,0.916597,0.630345
tri3_tex8_rgb_cubic_catmull_rom_direct,tri3,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.566506,0.068205,0.000091,0.646395,0.645193,0.322164,0.370849,0.795917,0.511245
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.494263,0.071277,0.000081,0.560977,0.602365,0.281578,0.347624,0.638596,0.454019
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri3,tex8_rgb,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.511390,0.171961,0.000065,0.707722,0.644375,0.289656,0.893931,0.835746,0.495365
tri3_tex8_rgb_lanczos3_lut_lerp,tri3,tex8_rgb,lanczos3,0.000000,0.000000,0.000000,0.000000,0.621988,0.164691,0.000071,0.708945,0.776699,0.344480,0.424550,0.576158,0.446360
tri3_tex8_rgb_cubic_bspline_lut_lerp,tri3,tex8_rgb,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.542023,0.133716,0.000065,0.689160,0.737098,0.306265,0.692047,0.804276,0.561605
tri3_tex8_rgb_quintic_bspline_direct,tri3,tex8_rgb,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.716824,0.392637,0.000056,1.075557,1.349578,0.398249,0.729906,0.730047,0.653589
tri3_tex8_rgb_quintic_bspline_lut_lerp,tri3,tex8_rgb,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.521344,0.175997,0.000040,0.814559,0.871746,0.292895,0.456759,0.673336,0.505369
