Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,204800.000000,204800.000000,1600000.000000,1664000.000000,13.052560,6.939993,0.008025,18.617678,27.229886,20.784265,351.525974,110.892507,91.864450
tri3_nodal_rgb,tri3,nodal_rgb,nodal,204800.000000,204800.000000,1600000.000000,1664000.000000,23.079381,9.471606,0.002135,29.828948,37.610404,10.915265,251.314927,63.469265,55.739977
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,204800.000000,204800.000000,1600000.000000,1664000.000000,14.377580,12.001635,0.001022,24.419259,36.895894,20.026318,185.299239,84.458550,58.150518
tri3_tex8_grey_cubic_catmull_rom_direct,tri3,tex8_grey,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,14.189610,16.108407,0.001714,27.846557,43.190500,19.706843,125.379066,68.452112,49.889627
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,14.701431,16.214500,0.001483,28.237007,43.108933,20.311885,124.986925,69.839279,50.875839
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,204800.000000,204800.000000,1600000.000000,1664000.000000,14.990050,16.817173,0.001263,31.807514,42.093740,19.846096,125.050743,68.973943,50.487456
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,204800.000000,204800.000000,1600000.000000,1664000.000000,15.023113,19.681194,0.001282,32.108029,43.486865,20.166571,100.955315,60.933131,45.983538
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,14.644126,16.736978,0.001273,30.022370,42.073095,20.180187,125.230355,69.628831,50.709388
tri3_tex8_grey_quintic_bspline_direct,tri3,tex8_grey,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,13.725184,26.696564,0.008897,40.422239,49.413417,20.136571,81.086560,53.102271,41.398526
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,13.969222,18.503055,0.000932,31.530510,43.499198,19.911158,102.067023,61.545724,46.094859
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,204800.000000,204800.000000,1600000.000000,1664000.000000,23.319369,15.658811,0.001603,38.243551,48.434370,11.328373,141.776640,54.404531,41.890114
tri3_tex8_rgb_cubic_catmull_rom_direct,tri3,tex8_rgb,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,24.863297,23.542316,0.001172,45.672064,54.950512,11.579861,94.259630,46.025433,36.797688
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,22.835771,23.751607,0.001894,46.587869,56.116197,11.395824,88.928195,44.440758,35.872701
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri3,tex8_rgb,cubic_mitchell_netravali,204800.000000,204800.000000,1600000.000000,1664000.000000,23.082203,20.926901,0.002174,41.437855,52.780831,11.583477,92.354251,45.618665,36.484585
tri3_tex8_rgb_lanczos3_lut_lerp,tri3,tex8_rgb,lanczos3,204800.000000,204800.000000,1600000.000000,1664000.000000,22.511889,31.716897,0.000902,54.102094,63.405240,11.559789,64.857399,37.461362,31.156959
tri3_tex8_rgb_cubic_bspline_lut_lerp,tri3,tex8_rgb,cubic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,22.793178,24.927190,0.001633,44.957410,61.553740,11.290617,92.381233,44.967915,36.237604
tri3_tex8_rgb_quintic_bspline_direct,tri3,tex8_rgb,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,22.756048,36.691283,0.000852,57.609567,69.330578,11.513670,55.122104,34.132058,28.865737
tri3_tex8_rgb_quintic_bspline_lut_lerp,tri3,tex8_rgb,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,22.075091,30.899029,0.000992,50.899523,62.114824,11.523289,64.808761,37.498634,31.178871
tri3_texfunc_grey_param_constant,tri3,texfunc_grey,constant,204800.000000,204800.000000,1600000.000000,1664000.000000,12.319948,7.285487,0.000892,18.535204,28.078371,23.025618,328.573400,115.882660,96.820646
tri3_texfunc_grey_uv_constant,tri3,texfunc_grey,constant,204800.000000,204800.000000,1600000.000000,1664000.000000,14.509317,7.702817,0.002375,21.008647,35.168544,19.806226,309.158910,102.714599,66.185290
tri3_texfunc_grey_param_sinusoidal,tri3,texfunc_grey,sinusoidal,204800.000000,204800.000000,1600000.000000,1664000.000000,12.739464,12.842000,0.001243,23.777195,31.994077,22.410484,162.486894,84.068773,73.658300
tri3_texfunc_grey_uv_sinusoidal,tri3,texfunc_grey,sinusoidal,204800.000000,204800.000000,1600000.000000,1664000.000000,14.992844,16.120636,0.002345,29.597443,40.413878,19.938661,141.251841,73.976176,52.986114
tri3_texfunc_rgb_param_constant,tri3,texfunc_rgb,constant,204800.000000,204800.000000,1600000.000000,1664000.000000,22.041486,10.931698,0.002695,32.297899,36.665863,12.250554,201.802093,64.510482,58.409582
tri3_texfunc_rgb_uv_constant,tri3,texfunc_rgb,constant,204800.000000,204800.000000,1600000.000000,1664000.000000,22.472122,11.034474,0.003417,31.684002,48.411181,11.537318,196.127223,61.599571,46.208503
tri3_texfunc_rgb_param_sinusoidal,tri3,texfunc_rgb,sinusoidal,204800.000000,204800.000000,1600000.000000,1664000.000000,21.459961,19.831379,0.001192,38.480201,46.156819,12.354938,101.806434,49.274555,45.545184
tri3_texfunc_rgb_uv_sinusoidal,tri3,texfunc_rgb,sinusoidal,204800.000000,204800.000000,1600000.000000,1664000.000000,23.361136,22.471962,0.002655,45.232526,53.917807,11.294760,91.094634,44.621279,35.905701
tri6_nodal_grey,tri6,nodal_grey,nodal,204800.000000,204800.000000,1600000.000000,1664000.000000,25.840709,32.398942,0.001142,56.713977,65.154218,10.238316,64.168476,35.553062,30.153265
tri6_nodal_rgb,tri6,nodal_rgb,nodal,204800.000000,204800.000000,1600000.000000,1664000.000000,36.203766,31.171138,0.001293,64.568695,78.943592,6.694357,59.005461,27.631714,23.789814
