Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.016025,0.028290,0.000100,0.028835,0.031440,0.003836,0.595464,0.281114,0.301788
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.021125,0.032858,0.000056,0.032082,0.036285,0.005070,0.691230,0.312468,0.347811
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.021051,0.027172,0.000086,0.028770,0.028250,0.005082,0.572872,0.280698,0.271397
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.014333,0.028895,0.000080,0.037311,0.037573,0.003458,0.608704,0.364091,0.361009
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.012459,0.025990,0.000075,0.027277,0.028489,0.002997,0.547468,0.265891,0.273351
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.017483,0.026306,0.000086,0.034591,0.033389,0.004210,0.555909,0.337965,0.321274
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.026290,0.038624,0.000095,0.054084,0.055312,0.000757,0.442178,0.153971,0.156222
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.047295,0.049049,0.000059,0.069358,0.067806,0.001365,0.560795,0.197988,0.191618
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.043048,0.046459,0.000061,0.072974,0.074018,0.001233,0.528330,0.207879,0.208799
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.053964,0.042140,0.000055,0.064178,0.060531,0.001561,0.479555,0.183502,0.170881
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.037097,0.038319,0.000081,0.061779,0.061703,0.001069,0.436638,0.176223,0.174327
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.051689,0.044219,0.000075,0.089563,0.090765,0.001492,0.505052,0.255475,0.255720
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,0.000000,0.000000,0.000000,0.000000,0.012504,0.057355,0.000075,0.061198,0.066067,0.002979,0.357313,0.241158,0.254889
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.014623,0.098099,0.000085,0.102046,0.102823,0.003473,0.258095,0.197771,0.196434
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.012589,0.093360,0.000060,0.090778,0.093740,0.002998,0.252559,0.179584,0.182744
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,0.000000,0.000000,0.000000,0.000000,0.013390,0.107411,0.000065,0.102918,0.103874,0.003189,0.186694,0.138635,0.138231
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.014738,0.092391,0.000101,0.097421,0.101951,0.003514,0.248048,0.191452,0.197381
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.018035,0.110622,0.000085,0.107647,0.108563,0.004282,0.194824,0.146749,0.145719
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,0.000000,0.000000,0.000000,0.000000,0.039577,0.154140,0.000080,0.179218,0.183452,0.001152,0.524309,0.254568,0.256993
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.046890,0.166294,0.000075,0.199388,0.197699,0.001364,0.241868,0.157786,0.154174
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri3,tex8_rgb,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.031315,0.185066,0.000075,0.205149,0.203295,0.000908,0.273149,0.163291,0.160163
tri3_tex8_rgb_lanczos3_lut_lerp,tri3,tex8_rgb,lanczos3,0.000000,0.000000,0.000000,0.000000,0.041976,0.211210,0.000060,0.252640,0.250987,0.001217,0.156965,0.119205,0.117493
tri3_tex8_rgb_cubic_bspline_lut_lerp,tri3,tex8_rgb,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.032668,0.191618,0.000055,0.216654,0.219491,0.000943,0.284849,0.173886,0.174336
tri3_tex8_rgb_quintic_bspline_lut_lerp,tri3,tex8_rgb,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.040012,0.258856,0.000040,0.268470,0.265429,0.001155,0.189144,0.124944,0.122537
tri3_texfunc_grey_param_constant,tri3,texfunc_grey,constant,0.000000,0.000000,0.000000,0.000000,0.011797,0.038023,0.000090,0.041604,0.044711,0.002836,0.654325,0.353418,0.374398
tri3_texfunc_grey_uv_constant,tri3,texfunc_grey,constant,0.000000,0.000000,0.000000,0.000000,0.019247,0.039656,0.000090,0.048598,0.047716,0.004564,0.645708,0.394141,0.374707
tri3_texfunc_grey_param_sinusoidal,tri3,texfunc_grey,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.025009,0.064500,0.000060,0.086787,0.087923,0.006074,0.196167,0.189552,0.190634
tri3_texfunc_grey_uv_sinusoidal,tri3,texfunc_grey,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.030078,0.070761,0.000080,0.081701,0.085449,0.007070,0.266872,0.214539,0.220459
tri3_texfunc_rgb_param_constant,tri3,texfunc_rgb,constant,0.000000,0.000000,0.000000,0.000000,0.073651,0.079147,0.000080,0.126006,0.120596,0.002150,0.580819,0.286955,0.272261
tri3_texfunc_rgb_uv_constant,tri3,texfunc_rgb,constant,0.000000,0.000000,0.000000,0.000000,0.047319,0.054795,0.000061,0.109035,0.108328,0.001378,0.391329,0.243636,0.237931
tri3_texfunc_rgb_param_sinusoidal,tri3,texfunc_rgb,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.044550,0.108403,0.000061,0.138471,0.138546,0.001283,0.120192,0.089114,0.088788
tri3_texfunc_rgb_uv_sinusoidal,tri3,texfunc_rgb,sinusoidal,0.000000,0.000000,0.000000,0.000000,0.061954,0.100733,0.000074,0.118098,0.120852,0.001782,0.151098,0.095496,0.096742
tri6_nodal_grey,tri6,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.020875,0.266140,0.000086,0.277368,0.285573,0.005222,0.134166,0.117613,0.120789
tri6_nodal_grey,tri6,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.018556,0.251167,0.000100,0.259257,0.256292,0.004622,0.127135,0.110904,0.108894
tri6_nodal_grey,tri6,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.019328,0.249924,0.000080,0.279112,0.274015,0.004834,0.126585,0.118954,0.116523
tri6_nodal_grey,tri6,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.023108,0.220888,0.000100,0.237866,0.233778,0.005751,0.111604,0.101988,0.099282
tri6_nodal_grey,tri6,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.017507,0.255150,0.000085,0.269810,0.266360,0.004347,0.129715,0.115868,0.113601
tri6_nodal_grey,tri6,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.019357,0.207393,0.000081,0.229143,0.234635,0.004843,0.105317,0.098008,0.100056
tri6_nodal_rgb,tri6,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.039872,0.456826,0.000061,0.506486,0.498662,0.001502,0.205965,0.155032,0.151638
tri6_nodal_rgb,tri6,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.037572,0.320154,0.000079,0.320379,0.326912,0.001406,0.144167,0.098212,0.099365
tri6_nodal_rgb,tri6,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.037567,0.298117,0.000070,0.335024,0.328761,0.001414,0.134880,0.102861,0.100280
tri6_nodal_rgb,tri6,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.035243,0.390309,0.000060,0.418603,0.416530,0.001328,0.175395,0.127895,0.126416
tri6_nodal_rgb,tri6,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.036169,0.445769,0.000066,0.477810,0.488156,0.001359,0.197697,0.145312,0.146468
