Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.113479,8.719056,0.000301,12.825260,12.926435,0.984568,183.506105,124.753803,123.777360
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.107633,8.737492,0.000351,12.832966,12.937857,0.985969,183.118922,124.678900,123.668085
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.106310,8.725073,0.000346,12.820296,12.919377,0.986287,183.379566,124.802111,123.844981
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.104367,8.721070,0.000360,12.823587,12.923129,0.986754,183.463738,124.770077,123.809030
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.102714,8.715425,0.000341,12.811870,12.910855,0.987152,183.582568,124.884189,123.926727
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.108570,8.708601,0.000366,12.814320,12.911732,0.985744,183.726410,124.860318,123.918317
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.872197,11.841294,0.000376,23.715070,23.828843,0.341133,135.120368,67.467650,67.145516
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.870939,11.854229,0.000371,23.710045,23.828803,0.341169,134.972934,67.481950,67.145631
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.889120,11.861988,0.000351,23.736086,23.852720,0.340648,134.884642,67.407912,67.078305
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.853653,11.854915,0.000326,23.687707,23.807172,0.341667,134.965118,67.545584,67.206638
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.876001,11.848693,0.000311,23.714463,23.828277,0.341024,135.035991,67.469375,67.147114
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.871061,11.857965,0.000331,23.728611,23.845019,0.341166,134.930403,67.429147,67.099968
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,4050.000000,1935.000000,1600000.000000,786712.000000,4.128954,16.054498,0.000295,20.180722,20.397708,0.980878,99.660544,79.283586,78.440186
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,4050.000000,1935.000000,1600000.000000,786712.000000,4.129684,24.660208,0.000390,28.783816,28.991289,0.980705,64.881856,55.586792,55.188992
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,4050.000000,1935.000000,1600000.000000,786712.000000,4.130050,24.366399,0.000331,28.484531,28.695276,0.980618,65.664196,56.170839,55.758308
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,4050.000000,1935.000000,1600000.000000,786712.000000,4.130616,30.394118,0.000371,34.515828,34.726603,0.980483,52.641764,46.355545,46.074188
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,4050.000000,1935.000000,1600000.000000,786712.000000,4.128984,24.458515,0.000330,28.582319,28.798659,0.980871,65.416891,55.978664,55.558143
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,4050.000000,1935.000000,1600000.000000,786712.000000,4.130140,30.196599,0.000370,34.312724,34.523277,0.980596,52.986099,46.629933,46.345542
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,4050.000000,1935.000000,1600000.000000,786712.000000,11.816101,21.749711,0.000461,33.558311,33.791323,0.342753,73.564202,47.678205,47.349434
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,4050.000000,1935.000000,1600000.000000,786712.000000,11.821346,33.250476,0.000366,45.064899,45.293691,0.342601,48.119612,35.504352,35.325008
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri3,tex8_rgb,cubic_mitchell_netravali,4050.000000,1935.000000,1600000.000000,786712.000000,11.832973,33.017179,0.000356,44.836145,45.063125,0.342264,48.459626,35.685497,35.505752
tri3_tex8_rgb_lanczos3_lut_lerp,tri3,tex8_rgb,lanczos3,4050.000000,1935.000000,1600000.000000,786712.000000,11.839235,46.505466,0.000391,58.358843,58.588478,0.342083,34.404558,27.416582,27.309124
tri3_tex8_rgb_cubic_bspline_lut_lerp,tri3,tex8_rgb,cubic_bspline,4050.000000,1935.000000,1600000.000000,786712.000000,11.842231,32.903256,0.000341,44.757162,44.992074,0.341996,48.627407,35.748470,35.561820
tri3_tex8_rgb_quintic_bspline_lut_lerp,tri3,tex8_rgb,quintic_bspline,4050.000000,1935.000000,1600000.000000,786712.000000,11.862579,46.924128,0.000411,58.768529,59.003638,0.341410,34.097597,27.225456,27.116972
tri3_texfunc_grey_param_constant,tri3,texfunc_grey,constant,4050.000000,1935.000000,1600000.000000,786712.000000,4.104221,9.642792,0.000346,13.744809,13.845312,0.986789,165.927047,116.407589,115.562582
tri3_texfunc_grey_uv_constant,tri3,texfunc_grey,constant,4050.000000,1935.000000,1600000.000000,786712.000000,4.142384,9.932644,0.000300,14.069942,14.285681,0.977698,161.085013,113.717602,112.000261
tri3_texfunc_grey_param_sinusoidal,tri3,texfunc_grey,sinusoidal,4050.000000,1935.000000,1600000.000000,786712.000000,4.095960,22.968694,0.000341,27.065249,27.164455,0.988779,69.660035,59.116398,58.900502
tri3_texfunc_grey_uv_sinusoidal,tri3,texfunc_grey,sinusoidal,4050.000000,1935.000000,1600000.000000,786712.000000,4.135756,20.597025,0.000290,24.725115,24.945574,0.979265,77.681124,64.711529,64.139635
tri3_texfunc_rgb_param_constant,tri3,texfunc_rgb,constant,4050.000000,1935.000000,1600000.000000,786712.000000,11.816575,14.766263,0.000376,26.569332,26.682029,0.342739,108.355112,60.219805,59.965455
tri3_texfunc_rgb_uv_constant,tri3,texfunc_rgb,constant,4050.000000,1935.000000,1600000.000000,786712.000000,11.817793,14.995277,0.000361,26.813687,27.044315,0.342704,106.700263,59.671019,59.162160
