Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.077530,8.676690,0.000110,12.769169,12.867407,0.822793,168.934721,111.951917,110.947871
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.072220,8.679555,0.000130,12.776341,12.877226,0.617832,166.810802,100.331200,99.610808
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.068874,8.673223,0.000070,12.774369,12.868960,0.628392,140.577194,99.349355,98.710502
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.065537,8.674696,0.000050,12.770381,12.867617,0.639286,143.573575,102.397208,101.714222
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.081558,8.678553,0.000131,12.764027,12.863229,0.674256,145.932993,105.475768,104.739419
tri3_nodal_grey,tri3,nodal_grey,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,4.083531,8.666441,0.000130,12.766024,12.867957,0.881831,145.774467,106.127806,105.227650
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.779610,11.696301,0.000160,23.533192,23.649184,0.260868,104.597074,57.067125,56.792936
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.756767,11.696030,0.000170,23.522701,23.645195,0.268709,113.318075,57.808190,57.553928
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.764421,11.730476,0.000150,23.543469,23.665164,0.280623,102.739313,58.243550,57.988716
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.748289,11.742229,0.000161,23.544512,23.668640,0.264734,108.173992,57.734664,57.495390
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.773870,11.725917,0.000130,23.537619,23.657379,0.274155,113.949742,57.665072,57.422575
tri3_nodal_rgb,tri3,nodal_rgb,nodal,4050.000000,1935.000000,1600000.000000,786712.000000,11.755775,11.665852,0.000120,23.514573,23.635136,0.284588,106.195132,59.469924,59.210746
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,4050.000000,1935.000000,1600000.000000,786712.000000,4.102879,15.933006,0.000130,20.067806,20.282848,0.842372,85.767495,70.169963,69.488698
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,4050.000000,1935.000000,1600000.000000,786712.000000,4.095895,24.539821,0.000150,28.643581,28.853233,0.616931,58.457784,48.908187,48.583284
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,4050.000000,1935.000000,1600000.000000,786712.000000,4.095974,24.243273,0.000140,28.354177,28.571142,0.623613,57.801161,48.847692,48.496589
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,4050.000000,1935.000000,1600000.000000,786712.000000,4.098010,30.246946,0.000170,34.368309,34.574776,0.644003,47.018900,41.837842,41.597810
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,4050.000000,1935.000000,1600000.000000,786712.000000,4.099292,24.320240,0.000080,28.424251,28.631789,0.757678,57.629074,50.121923,49.774497
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,4050.000000,1935.000000,1600000.000000,786712.000000,4.097558,30.045820,0.000140,34.176312,34.387777,0.625414,47.504652,41.800475,41.551485
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,4050.000000,1935.000000,1600000.000000,786712.000000,11.755935,21.467911,0.000251,33.260026,33.495526,0.282495,63.277145,42.591305,42.328478
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,4050.000000,1935.000000,1600000.000000,786712.000000,11.754974,32.931244,0.000140,44.710064,44.940434,0.278401,43.100311,32.408095,28.910485
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri3,tex8_rgb,cubic_mitchell_netravali,4050.000000,1935.000000,1600000.000000,786712.000000,11.778669,32.602823,0.000140,44.414555,44.639818,0.277306,43.583819,32.412391,32.263500
tri3_tex8_rgb_lanczos3_lut_lerp,tri3,tex8_rgb,lanczos3,4050.000000,1935.000000,1600000.000000,786712.000000,11.769281,46.071443,0.000150,57.869248,58.115390,0.262920,31.464258,24.873821,24.780936
tri3_tex8_rgb_cubic_bspline_lut_lerp,tri3,tex8_rgb,cubic_bspline,4050.000000,1935.000000,1600000.000000,786712.000000,11.791073,32.418971,0.000150,44.210786,44.445194,0.270697,43.042517,32.401375,32.239843
tri3_tex8_rgb_quintic_bspline_lut_lerp,tri3,tex8_rgb,quintic_bspline,4050.000000,1935.000000,1600000.000000,786712.000000,11.781583,46.547386,0.000230,58.369508,58.605080,0.272840,31.261208,24.857497,24.764228
tri3_texfunc_grey_param_constant,tri3,texfunc_grey,constant,4050.000000,1935.000000,1600000.000000,786712.000000,4.058483,9.584390,0.000120,13.688461,13.782001,0.629135,138.846837,93.694106,93.023012
tri3_texfunc_grey_uv_constant,tri3,texfunc_grey,constant,4050.000000,1935.000000,1600000.000000,786712.000000,4.096596,9.868585,0.000070,13.992372,14.203439,0.812364,127.755150,96.037268,94.605684
tri3_texfunc_grey_param_sinusoidal,tri3,texfunc_grey,sinusoidal,4050.000000,1935.000000,1600000.000000,786712.000000,4.056019,22.816486,0.000070,26.899968,26.999137,0.831881,62.293926,53.731274,53.535494
tri3_texfunc_grey_uv_sinusoidal,tri3,texfunc_grey,sinusoidal,4050.000000,1935.000000,1600000.000000,786712.000000,4.083972,20.449507,0.000081,24.539471,24.758661,0.842439,69.475006,58.956105,58.468828
tri3_texfunc_rgb_param_constant,tri3,texfunc_rgb,constant,4050.000000,1935.000000,1600000.000000,786712.000000,11.709044,14.606221,0.000130,26.401000,26.507535,0.267146,91.430452,51.891797,51.705098
tri3_texfunc_rgb_uv_constant,tri3,texfunc_rgb,constant,4050.000000,1935.000000,1600000.000000,786712.000000,11.745204,14.785464,0.000141,26.565044,26.797740,0.288056,90.133827,52.058285,51.657966
tri3_texfunc_rgb_param_sinusoidal,tri3,texfunc_rgb,sinusoidal,4050.000000,1935.000000,1600000.000000,786712.000000,11.762598,37.761277,0.000171,49.576776,49.690964,0.270659,38.194145,29.233772,29.175795
