Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.663253,5.558776,23.769339,2.993685,2.913435,0.667681,5.779199,2.951722,2.939347
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.402452,4.854601,23.684211,2.715397,2.740712,0.402495,5.027561,2.720240,2.690428
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.660979,5.005873,27.700831,2.984566,2.975193,0.665380,5.200219,2.985729,2.965153
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.388652,5.687640,21.111111,1.875920,1.944857,0.390168,5.416082,1.888157,1.983603
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.494248,6.135144,25.104022,2.029440,2.041966,0.494263,6.087115,2.029464,2.017645
tri3_nodal_grey,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.486709,6.482882,16.782247,1.851233,1.830001,0.488374,6.299706,1.817584,1.830032
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.354159,1.825541,18.867925,0.767256,0.790714,0.354902,1.840229,0.773209,0.797029
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.320430,1.584674,13.780025,0.769821,0.765730,0.319407,1.586443,0.770027,0.765915
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.333485,1.918100,13.140604,0.929287,0.906298,0.334600,1.919851,0.938006,0.914589
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.327488,2.170307,16.620499,0.885559,0.858801,0.328564,2.170160,0.885474,0.858513
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.375133,1.871478,16.172507,0.926651,0.877650,0.375109,1.907171,0.930780,0.877595
tri3_nodal_rgb,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.316518,2.693833,13.513514,1.034945,1.046959,0.317523,2.718216,1.042125,1.058040
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,0.000000,0.000000,0.000000,0.000000,0.357050,3.369048,22.160665,2.058185,2.018609,0.358244,3.284708,2.065943,2.021002
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.518052,1.689994,25.432756,1.096564,1.106611,0.518071,1.696640,1.091712,1.118998
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.417779,1.763310,27.359781,1.252034,1.212144,0.419532,1.763369,1.267908,1.227021
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,0.000000,0.000000,0.000000,0.000000,0.518117,1.637849,23.490814,1.106719,1.026026,0.520520,1.611454,1.094611,1.036649
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.478886,1.423821,24.826630,1.050794,1.033408,0.481194,1.444350,1.061962,1.044202
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.489139,1.912558,26.246719,1.470622,1.455242,0.489092,1.910569,1.492576,1.476738
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,0.000000,0.000000,0.000000,0.000000,0.342470,3.410316,18.561485,1.405918,1.406463,0.343646,3.424435,1.399379,1.424268
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.299945,0.993511,13.937282,0.483954,0.459595,0.300846,0.993342,0.483990,0.457493
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri3,tex8_rgb,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.197515,1.111961,9.833795,0.533900,0.519395,0.197412,1.112050,0.531065,0.519935
tri3_tex8_rgb_lanczos3_lut_lerp,tri3,tex8_rgb,lanczos3,0.000000,0.000000,0.000000,0.000000,0.237855,1.162213,17.191601,0.851917,0.830570,0.237854,1.175881,0.851918,0.837523
tri3_tex8_rgb_cubic_bspline_lut_lerp,tri3,tex8_rgb,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.446210,2.227442,22.508039,1.209242,1.191806,0.446194,2.249647,1.209561,1.192148
