Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,6.230635,15.309433,0.004389,19.336768,19.436247,1.017884,134.742924,100.402148,99.750860
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.603248,14.287346,0.000851,18.270786,18.376688,1.020637,133.309238,100.071908,99.488233
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.330684,15.076708,0.000832,19.080778,19.195728,1.015984,133.438561,99.996769,99.424185
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,6.292141,14.660220,0.001133,19.515318,19.616363,1.016464,133.599542,100.217403,99.657167
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.806737,12.915459,0.000702,17.722707,17.836294,1.012824,134.396827,100.094984,99.519730
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.489269,14.842700,0.000751,18.998228,19.110324,1.016423,134.660876,100.182639,99.609866
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,15.222357,20.943024,0.000621,33.708616,33.817204,0.348813,93.161178,55.440922,55.243381
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,14.618450,20.955749,0.000711,33.141580,33.259306,0.347703,92.931146,55.387911,55.176442
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,14.048269,20.763561,0.001052,32.413304,32.520340,0.348720,93.066976,55.424281,55.208928
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,14.743550,21.074417,0.000742,32.793052,32.900929,0.349350,92.762996,55.431090,55.231325
