Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.376241,1.483920,25.575448,0.814380,0.819689,0.377661,1.485523,0.821067,0.826461
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.387245,1.329323,24.934383,0.711098,0.731754,0.388750,1.329601,0.710583,0.737142
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.305463,1.275509,26.059850,0.675124,0.667497,0.306399,1.291988,0.675187,0.666527
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.357363,2.414185,26.184211,1.364163,1.381567,0.358644,2.466763,1.374876,1.381814
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.466877,1.887219,22.178988,0.912978,0.877913,0.466854,1.911200,0.921391,0.885686
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,0.000000,0.000000,0.000000,0.000000,0.495146,2.256598,28.076923,0.983945,0.961846,0.495719,2.300119,0.987413,0.971180
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.578113,2.088754,21.727395,1.152683,1.179930,0.578133,2.089713,1.153194,1.189724
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.572293,2.363118,21.563342,1.072599,1.130835,0.569035,2.341845,1.084229,1.130319
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.564862,2.106764,19.736842,0.964822,0.985878,0.566565,2.073305,0.964661,0.985326
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.338975,2.102906,19.390582,0.914209,0.917648,0.340128,2.102853,0.914123,0.917836
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.298997,2.061656,21.857923,1.059696,1.018130,0.299074,2.065234,1.048583,1.018046
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,0.000000,0.000000,0.000000,0.000000,0.416275,2.254624,20.215633,1.216787,1.210213,0.418015,2.254858,1.220602,1.212713
tri3_tex8_grey_linear_direct_zoom,tri3,tex8_grey,linear,0.000000,0.000000,0.000000,0.000000,0.599385,1.042682,20.656635,0.789863,0.741766,0.602993,1.053656,0.795343,0.747310
tri3_tex8_grey_cubic_catmull_rom_lut_lerp_zoom,tri3,tex8_grey,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.492614,1.227029,23.753281,0.854042,0.878946,0.495046,1.226731,0.861387,0.886742
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp_zoom,tri3,tex8_grey,cubic_mitchell_netravali,0.000000,0.000000,0.000000,0.000000,0.451237,0.956583,24.054983,0.831039,0.814458,0.453282,0.960215,0.838000,0.818850
tri3_tex8_grey_lanczos3_lut_lerp_zoom,tri3,tex8_grey,lanczos3,0.000000,0.000000,0.000000,0.000000,0.441513,2.106997,25.989673,1.929991,1.918806,0.443239,2.136243,1.967968,1.956333
tri3_tex8_grey_cubic_bspline_lut_lerp_zoom,tri3,tex8_grey,cubic_bspline,0.000000,0.000000,0.000000,0.000000,0.458303,0.962212,29.784367,0.772597,0.749934,0.460416,0.961678,0.778614,0.750089
tri3_tex8_grey_quintic_bspline_lut_lerp_zoom,tri3,tex8_grey,quintic_bspline,0.000000,0.000000,0.000000,0.000000,0.501105,2.141156,24.930748,1.865394,1.854286,0.503629,2.151826,1.900857,1.889329
tri3_tex8_rgb_linear_direct_zoom,tri3,tex8_rgb,linear,0.000000,0.000000,0.000000,0.000000,0.233421,1.609284,18.158568,0.792106,0.756017,0.233967,1.635611,0.791484,0.757162
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp_zoom,tri3,tex8_rgb,cubic_catmull_rom,0.000000,0.000000,0.000000,0.000000,0.641880,1.294099,13.525499,1.014235,1.030754,0.646027,1.303926,1.024617,1.041492
