Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.001176,3.847882,0.000070,7.891010,8.005659,0.651318,347.324882,151.263590,149.716386
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.003300,3.731409,0.000140,7.755008,7.871091,0.681520,274.535259,157.469745,155.396488
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,4.006426,3.854896,0.000060,7.921708,8.028052,0.646967,356.833575,150.118481,148.050777
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,3.996558,3.776826,0.000171,7.843398,7.957887,0.824640,312.296946,171.933306,169.817200
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,3.981549,3.828765,0.000150,7.894425,8.005478,0.865029,282.524034,165.077350,160.315067
tri3_nodal_grey_zoom,tri3,nodal_grey,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,3.984063,3.804438,0.000070,7.877132,7.989027,0.762164,260.720756,157.704221,155.710427
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.446831,5.334935,0.000170,16.885484,17.013030,0.288061,259.992359,79.732704,79.219855
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.393458,5.312241,0.000191,16.862100,16.996498,0.287380,258.216656,80.868822,57.481524
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.506416,5.287273,0.000160,16.872258,16.995806,0.280926,207.788889,77.304370,76.822705
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.528616,5.340966,0.000200,17.017447,17.139201,0.319862,260.165182,86.796208,86.202819
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.561951,5.306630,0.000151,17.014151,17.141325,0.330022,255.769562,86.786303,86.195091
tri3_nodal_rgb_zoom,tri3,nodal_rgb,nodal,4050.000000,972.000000,1600000.000000,1600000.000000,11.552173,5.347488,0.000150,16.952622,17.081009,0.323508,237.059935,85.360385,84.745803
tri3_tex8_grey_linear_direct_zoom,tri3,tex8_grey,linear,4050.000000,972.000000,1600000.000000,1600000.000000,3.931573,7.276189,0.000110,11.254773,11.482158,0.688126,162.674879,111.173569,109.407126
tri3_tex8_grey_cubic_catmull_rom_lut_lerp_zoom,tri3,tex8_grey,cubic_catmull_rom,4050.000000,972.000000,1600000.000000,1600000.000000,3.915763,11.663937,0.000150,15.643121,15.874744,0.644025,114.657688,84.493009,83.383229
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp_zoom,tri3,tex8_grey,cubic_mitchell_netravali,4050.000000,972.000000,1600000.000000,1600000.000000,4.011306,11.707319,0.000080,15.748843,15.983994,0.625945,108.710238,84.234821,83.216462
tri3_tex8_grey_lanczos3_lut_lerp_zoom,tri3,tex8_grey,lanczos3,4050.000000,972.000000,1600000.000000,1600000.000000,4.009561,14.565443,0.000071,18.591668,18.814364,0.684430,94.037488,75.273689,74.463588
