SSAA,Riley Case,LLVMpipe Case,Riley E2E [ms],Riley MAD E2E [ms],LLVMpipe E2E [ms],LLVMpipe MAD E2E [ms],Riley E2E TP [MPx/s],LLVMpipe E2E TP [MPx/s],LLVMpipe / Riley Time Ratio
1,tri3_func_param_constant,tri3_texfunc_grey_param_constant,6.560946,0.119153,5.668060,0.154286,243.873350,282.283532,0.863909
1,tri3_func_param_linear,tri3_texfunc_grey_param_linear,6.551493,0.020249,5.893693,0.203770,244.219180,271.476645,0.899595
1,tri3_func_param_quadratic,tri3_texfunc_grey_param_quadratic,6.565499,0.019266,6.320371,0.212879,243.698270,253.149696,0.962664
1,tri3_func_param_sinusoidal_approx,tri3_texfunc_grey_param_sinusoidal,7.846394,0.017143,8.042393,0.224801,203.915370,198.945762,1.024980
1,tri3_func_rgb_param_constant,tri3_texfunc_rgb_param_constant,14.765266,0.077468,11.885844,1.060474,108.362430,134.613915,0.804987
1,tri3_func_rgb_param_linear,tri3_texfunc_rgb_param_linear,14.794601,0.077144,12.148478,1.121251,108.147550,131.703741,0.821143
1,tri3_func_rgb_param_quadratic,tri3_texfunc_rgb_param_quadratic,15.119209,0.044620,12.278638,0.764376,105.825645,130.307612,0.812122
1,tri3_func_rgb_param_sinusoidal_approx,tri3_texfunc_rgb_param_sinusoidal,16.838785,0.077970,14.314822,0.814513,95.018730,111.772260,0.850110
1,tri3_func_rgb_uv_constant,tri3_texfunc_rgb_uv_constant,14.844021,0.047976,12.138508,0.667009,107.787550,131.811916,0.817737
1,tri3_func_rgb_uv_linear,tri3_texfunc_rgb_uv_linear,14.969909,0.087818,11.643279,0.662481,106.881160,137.418334,0.777779
1,tri3_func_rgb_uv_quadratic,tri3_texfunc_rgb_uv_quadratic,15.213821,0.044381,12.572301,0.618667,105.167534,127.263895,0.826374
1,tri3_func_rgb_uv_sinusoidal_approx,tri3_texfunc_rgb_uv_sinusoidal,16.925976,0.082610,14.319041,0.903853,94.529250,111.739327,0.845980
1,tri3_func_uv_constant,tri3_texfunc_grey_uv_constant,6.631762,0.076247,5.588147,0.124238,241.263640,286.320313,0.842634
1,tri3_func_uv_linear,tri3_texfunc_grey_uv_linear,6.836228,0.138791,5.999556,0.283023,234.047330,266.686401,0.877612
1,tri3_func_uv_quadratic,tri3_texfunc_grey_uv_quadratic,6.702046,0.012498,6.238585,0.168514,238.733150,256.468414,0.930848
1,tri3_func_uv_sinusoidal_approx,tri3_texfunc_grey_uv_sinusoidal,8.297118,0.135740,7.977480,0.297159,192.838380,200.564589,0.961476
1,tri3_nodal_grey,tri3_nodal_grey,6.268750,0.021851,6.242381,0.211746,255.234280,256.312455,0.995794
1,tri3_nodal_rgb,tri3_nodal_rgb,14.361377,0.092086,12.871795,1.366431,111.410080,124.302788,0.896279
1,tri3_tex8_grey_cubic_catmull_rom_direct,tri3_tex8_grey_cubic_catmull_rom_direct,20.771738,0.034972,27.264837,0.182198,77.027740,58.683644,1.312593
1,tri3_tex8_grey_linear_direct,tri3_tex8_grey_linear_direct,10.025881,0.026484,7.166203,0.255419,159.586980,223.270258,0.714770
1,tri3_tex8_grey_quintic_bspline_direct,tri3_tex8_grey_quintic_bspline_direct,36.723427,0.099653,45.346655,0.209552,43.568924,35.283749,1.234815
1,tri3_tex8_rgb_cubic_catmull_rom_direct,tri3_tex8_rgb_cubic_catmull_rom_direct,53.174057,0.178894,34.370104,0.750560,30.089863,46.552085,0.646370
1,tri3_tex8_rgb_linear_direct,tri3_tex8_rgb_linear_direct,21.716930,0.075695,12.696119,0.962247,73.675385,126.022764,0.584618
1,tri3_tex8_rgb_quintic_bspline_direct,tri3_tex8_rgb_quintic_bspline_direct,101.662186,0.249146,55.197747,0.799643,15.738399,28.986690,0.542953
2,tri3_func_param_constant,tri3_texfunc_grey_param_constant,23.653980,0.057083,18.688279,1.379305,67.641910,85.615160,0.790069
2,tri3_func_param_linear,tri3_texfunc_grey_param_linear,24.042807,0.123661,18.801736,1.324029,66.548140,85.098525,0.782011
2,tri3_func_param_quadratic,tri3_texfunc_grey_param_quadratic,24.136847,0.089276,21.209034,1.007252,66.288790,75.439551,0.878699
2,tri3_func_param_sinusoidal_approx,tri3_texfunc_grey_param_sinusoidal,29.322868,0.129289,26.859580,0.901729,54.564953,59.569062,0.915994
2,tri3_func_rgb_param_constant,tri3_texfunc_rgb_param_constant,41.593716,0.156565,55.161075,0.617384,38.467360,29.005961,1.326188
2,tri3_func_rgb_param_linear,tri3_texfunc_rgb_param_linear,41.859300,0.318615,58.221724,0.970110,38.223328,27.481151,1.390891
2,tri3_func_rgb_param_quadratic,tri3_texfunc_rgb_param_quadratic,43.336536,0.766354,61.557500,0.880860,36.920464,25.991959,1.420453
2,tri3_func_rgb_param_sinusoidal_approx,tri3_texfunc_rgb_param_sinusoidal,50.205610,0.470047,66.694862,0.531800,31.868963,23.989854,1.328434
2,tri3_func_rgb_uv_constant,tri3_texfunc_rgb_uv_constant,42.302150,0.379019,55.151937,1.708977,37.823605,29.010767,1.303762
2,tri3_func_rgb_uv_linear,tri3_texfunc_rgb_uv_linear,42.467964,0.270165,58.106593,1.013283,37.675530,27.535602,1.368245
2,tri3_func_rgb_uv_quadratic,tri3_texfunc_rgb_uv_quadratic,43.463898,0.202278,61.795557,0.791508,36.812164,25.891829,1.421767
2,tri3_func_rgb_uv_sinusoidal_approx,tri3_texfunc_rgb_uv_sinusoidal,50.251520,0.274935,68.033950,1.644113,31.839832,23.517670,1.353868
2,tri3_func_uv_constant,tri3_texfunc_grey_uv_constant,24.181602,0.108687,19.982541,1.488555,66.166030,80.069897,0.826353
2,tri3_func_uv_linear,tri3_texfunc_grey_uv_linear,24.551807,0.100323,18.722845,0.891519,65.168335,85.457098,0.762585
2,tri3_func_uv_quadratic,tri3_texfunc_grey_uv_quadratic,24.919052,0.274736,21.454625,1.600678,64.208510,74.575995,0.860973
2,tri3_func_uv_sinusoidal_approx,tri3_texfunc_grey_uv_sinusoidal,30.149902,0.109485,27.340832,0.746070,53.068170,58.520531,0.906830
2,tri3_nodal_grey,tri3_nodal_grey,23.374302,0.170062,21.841448,2.258390,68.451240,73.255216,0.934421
2,tri3_nodal_rgb,tri3_nodal_rgb,40.532093,0.358011,57.312041,1.399635,39.474900,27.917345,1.413992
2,tri3_tex8_grey_cubic_catmull_rom_direct,tri3_tex8_grey_cubic_catmull_rom_direct,81.753460,0.985237,180.352375,1.628764,19.571053,8.871522,2.206052
2,tri3_tex8_grey_linear_direct,tri3_tex8_grey_linear_direct,38.698470,0.665789,37.649213,1.437256,41.345900,42.497568,0.972886
2,tri3_tex8_grey_quintic_bspline_direct,tri3_tex8_grey_quintic_bspline_direct,145.816250,1.579773,360.599547,1.132232,10.973658,4.437055,2.472972
2,tri3_tex8_rgb_cubic_catmull_rom_direct,tri3_tex8_rgb_cubic_catmull_rom_direct,195.069600,1.195030,282.493714,1.416456,8.202248,5.663843,1.448169
2,tri3_tex8_rgb_linear_direct,tri3_tex8_rgb_linear_direct,69.459350,0.522934,82.341542,0.332728,23.035091,19.431261,1.185464
2,tri3_tex8_rgb_quintic_bspline_direct,tri3_tex8_rgb_quintic_bspline_direct,394.200500,1.314682,543.186462,0.921746,4.058855,2.945582,1.377945
